# colors_mcd16.0_mld2_nc10_cvd100.0_minj40_maxj90_ns10000
# Python 3.6.6 |Anaconda custom (64-bit)| (default, Jun 28 2018, 17:14:51) [GCC 7.2.0]
# NumPy 1.15.1, Numba 0.40.0, Joblib 0.12.3
0046fc 01815f 0ec584 67fae8 7ab508 85790b a11196 b6ec41 cab0ff ff1eb5
0049ff 1dc847 338838 73595f 74fb27 a477ef bb9799 cdbdf3 ea019d f0c5b5
0050fb 15dc16 63a012 824060 8a62b0 bd073a bdd8e7 c488dd f687a4 fdd3b7
0055fd 08f9fe 3f606d 51aff6 67b01a 88e325 8a86a1 b8270c bb847c dab5c3
0056ec 60556c 6a8584 7dc1ea 93a73d a56cbc aa4f0f bfeaca c8a496 cee13a
0058f9 40a5fc 625b08 7de1f3 8f9067 98556b c8e98d cfabac ea9410 ff21a9
005cea 2eeee8 3b94fa 538a2e 794e4a 82a9b4 9cb418 bb037f d99c87 eedf4a
005cff 27b75a 60ddf1 7c7b00 9b09a7 a2a3a1 aef155 b469ad c11f5a e2cfba
005ffe 4ac596 595e12 637ea4 92f331 a1306c b987ff de4654 e1a1d5 e5dada
006484 0bf3eb 3f9da2 60d223 6f615b 93a376 c208d8 c6d0a8 d85001 f179f1
0064c2 11d3f5 1295e2 678e10 76c407 7d6148 902d7b c5e07f d36e8b ecb0b6
0067dd 129dfd 63d0e8 995d76 9f0d83 b3d2c4 b6ad04 d47d8d e82945 f9cb7d
0067fe 2afda0 488b25 744c9e 88b556 92364c b26b9d b689e7 ee8eaf f0b8fa
006a53 27ab03 7e5500 92f556 9341f4 ad0094 d680f9 d6c3d3 e61c7a fc8395
006b6a 01e2f6 4dacac 708c64 885210 9db149 af22f5 baddc3 c97dfb e9de3d
006b8e 12e3dd 2da1d1 6d6563 7a5cf3 92b205 9f2911 a9845b c1e311 f8a496
006b92 1df55f 747408 8328f6 96324d a97bf4 a99f0b cbdec7 f46e91 fea4e7
006c24 009b6a 688c05 765c6a 9bdae2 b30da7 ca71f3 dce491 e6ad0a fc6aab
006c79 23f7dd 27b1fb 6615fd 6c9882 988cae 9c56c7 b22839 c9cc7a f85b28
006ce5 317106 429e38 5fd0d9 926c9a 9e8fe7 a40a5d a8d483 c69498 ffd727
006d27 2156ed 27f6d6 4d9df5 696896 858a07 a8c02f adc0ec c84b67 de978e
006d2b 228ff8 3dedc7 5c8e0b 71b5b9 7d7481 85428b 9008fa c3e645 ed746c
006df1 55f95b 66833d 8ca3e2 a10a65 a4649f a898a2 bad2c8 dd987d f3ccff
006dff 01ac11 24ff09 5b5098 7c6367 9c432a adbe7e df629b ebd9d2 fb9fdc
006e07 4c54e9 84c1e6 96308d a1a624 ae7eff c5e6d3 c74e52 dad652 e58c9e
006e0e 00fa6d 0db4f0 2d69e5 489903 8c6b9a b1d3e4 b5156a c96775 f7949f
006e58 0aa4c9 788d8c 87468f 9423fa 9dedee a0bf9e a44614 cc8704 d1dd6c
006e63 2ad5c9 84642c 919b8a 95019e b81ef8 bbe932 c180f3 d1369d d59851
006f0c 3ea629 3fd6a4 7d01ff 93959d 9f48c3 c4d0e7 c585dd c7ca1a da076a
006fff 5962a1 6da2f3 72574e a6c6d6 a8828b bd2b0e e79780 ead966 fd4c13
007067 48ac89 55f3ac 7b690b 8e2591 a840ef b1f02d ceafc4 d674cd fe7b09
00721a 11a036 51e39f 746b66 8761fe ad0aa2 cce3e8 d4d926 f296e7 fa4a9f
00727e 43d6f5 6d866c 6ebb6a a3ebaa a51335 a596ae b119d1 ee211f efc41f
007343 5ddfb9 7b8910 8396db a70efd ad7584 b41783 d3c6f6 eada2d f98265
007376 01b424 1ad9fb 6d12f3 7d663f 86957f 9af423 b48fb0 cf3ae3 e0c3b5
00738a 787301 7aa29f 82f43c 8503e8 a10b5b b75e67 c4b07b c9cceb f648f7
007514 0bc2e1 51a113 53f7fd 7e34a3 8d5efe 9fc759 b0447c da7ca8 e9c2bf
007546 289b9b 61d727 638e12 9b1575 a150cf a295f6 c4dda2 dfb3de f82186
007563 12e078 379ef5 678f4d 6e26fa 933627 9a42aa bfc5da e0e505 f660a1
007611 24a855 59f1f0 6f535b a2c317 a91ef7 ad7ffb d724a2 e586a8 e6c198
007642 14e579 2246ff 7ba912 8262b9 a1f814 b90677 cb89c5 e0cbee e75482
007662 06de49 0da38e 6b0cfa 6d851b 9f0c95 ababfd b1e9b7 c04add cdbdd1
0076f8 11edc4 2e8410 5a644e 70c82b 853493 a485bb adf482 bcb5fc d1537d
007705 38c8a1 47ffd3 5941db 5f6b59 83a04d a275e0 a6e562 ce358f dcb7e3
007763 04a9a3 894723 95f0dc 9963dd 9ba10f a2b2ec bcdf13 e1c290 f90281
0077d5 01c4fd 4a6961 73d121 a80f18 aba897 c381b0 c5e09d de4f2e f6d0e0
007894 546001 54c864 7b2ed7 8d7f53 8e8fd6 b1106a c1c0fd d28ea7 f5d7b8
007b67 0f88ff 6df7a7 77bc9e 7f1cf1 a6171d c13cae ccdd16 f798e7 f95613
007c8a 7ac2ff 9519d3 a11e4f aeec62 b69d80 d547fe e40e03 eb8e12 f0c0cc
007f10 60c960 6152c5 87f4ed 997cf6 a1689b a60355 acee12 c0aaec d2506b
007f2c 1e4aed 37a4aa 71fc31 8d3f86 9b9dfc b29813 c2d0a2 c75d7b f2bfe0
008076 09f0c0 3cc034 72854b 753bfd 774c9c 7e4c01 a77bf9 afec2b dd96cb
00812d 693ae8 69c7c4 77ae1f 90738a 9769fe 9f0380 a6f41a d5d69b de878f
008142 41fad7 784b62 79ba68 880eea 958088 9b77fa b1489f b9e044 e3a5ec
008373 28f958 41ba65 787e08 8037f1 9c0f90 b169be bdadf9 c1e6c7 c6a5b7
008374 6bccfa 8337fe 834ea0 87a884 90413b ae70ef be7324 c2e2df dcd373
00838d 41bae8 74f2f1 791bdb 7b645a 9d9b90 acdc6c b50d18 b64ff2 fa3d24
0083fe 374cdd 63fa88 655c8a 7d90b7 98c109 9b7c7a ba5536 d3c6fe d4aaa9
008457 45c6b7 52fafb 6e677a 7da656 ade8ac b71b15 bb05f2 f64cfb f7b707
0084ea 298605 4cb16c 5ff565 7f07e3 8e89ac a7a9fe b31c6e dcd4f8 f3b0b9
0088a1 5fb09e 81dcf6 a51eea aa7afe ab3e00 b6c846 ca7603 eb1f66 facfb2
0088f7 26dbe9 336e94 75969c 7b0ee8 afbab0 b4465c dc0a12 ecd59a ff775f
00895a 5ac59f 6f0cfa 84aa25 9d3a7b aa60eb c91607 d286c4 d7cdfd f9d814
008a25 27fcfc 41b8b2 4e5f44 89777a 9683e2 a104da a2dfbb a62181 f0b44f
008aa0 4cb1f5 715624 85ef5b 882cce 8a8811 bc2374 c8737a d7bdbd dcdafd
008b62 7126e5 86e7f1 964280 96a310 9da6ff a65efb aed779 bf2b18 d787b3
008c79 21cc84 7637f8 8ff224 9683ff 9947a1 ae1530 b78eb5 f7ccff fa3131
008caf 40c5ac 5b5e48 9415e7 a0ebf0 a17d07 cba8fa d00f83 ecc929 f66f72
008d5f 32ee19 6439fb 67518c 806902 8f83ff a29f16 b7b9d3 f3d4ab ff629e
008dde 04fde1 1d6a29 7d14ef 8bbcf8 906f77 a1a690 b91991 da842e edd265
008e02 1ae2c1 586542 8929fe 8fbf21 a25dc7 b298ec b63a7c c6f032 e37e83
008e7d 35e99d 3c692b 7ca74b 8948fc 97319f bd83fe bfe538 f67eb7 f8ceee
008e9e 06ea83 4a7e14 80b020 8f1abe acc1f4 c6aab5 cdeb06 e90388 f427fa
008f06 52694f 71fc25 7e6582 8399c5 9762f1 980d9e 99b511 c9d2ee e1959e
008f71 74547b 7bf7c9 8fb3aa 953330 a59d1d b017d1 d6d1f9 e076eb e0c606
008f8e 376452 60f71b 64b7cc 7e915d a03d00 b618e5 c7dee4 cdbe8f d08b05
008fff 35901c 48d76c 6a6550 6d34e1 968b8a a6afe8 a7f62e c54fb3 d9d1d5
009080 39fc70 566218 7921f6 86b367 9c49a3 a77efb d0e3cc dbb1ee fe76af
009081 40c6f4 576e42 7104f4 8a9b09 93d60d 94348b c73eee dbcfc5 f973b8
009086 1ac5a4 547749 6d04fd 81f8a4 8b43af 9d7dca a2d90d dbacdf e1700c
0093f3 4c6762 70ab7b 920ff7 95f0aa 96791e a6c31e a7022f be96bc c222a0
009521 0156e7 15a9f6 5d6b57 71e6c2 9c0c76 bac5e4 cb9c71 e33e9c f1d268
00959f 25ffa9 4c60ac 6c5859 74bbae 788f73 a55710 ae8bf5 e7c0f3 f9942b
009717 486c40 4cc404 4efd02 7102fc bd1daa bfd9a3 c87dfb f34783 fa91c7
00979c 1745fe 24f4f6 6c56aa 70c92e 8b6705 a299eb cb9d8a cc4669 f6d6ad
00999c 49f91b 726f60 804083 9053f6 ac2a07 b79963 ba9af3 d9d6f2 e8c1bd
009a0d 366917 465ef1 79fd5b 8e88fc 926988 a4129b ccbddd e5836c fbbeba
009a85 6e5781 724dd8 94f6b4 a02e07 abc1be c77ad0 d66d1d d9de15 fcabfb
009b42 15faf8 1bc4bc 5b695f 7a33c1 8eb507 bfe519 c657f3 e8c292 ff5a94
009b73 535f47 5cd846 7f7b1e 9114f4 a40a94 bed3bc c48db1 f1c1f1 f23ae5
