# colors_mcd16_mld2_nc10_cvd100_minj40_maxj90_ns10000
# Python 3.6.6 |Anaconda custom (64-bit)| (default, Jun 28 2018, 17:14:51) [GCC 7.2.0]
# NumPy 1.15.1, Numba 0.40.0, Joblib 0.12.3
ccd197 67fe05 0dcc0a 128836 81998e 0292ee 0048f9 656365 b75ba0 f19dd1
d01c09 ff9b0a 749f5d bfe3c7 3e82f4 004af2 665391 d6bfe2 b5719d a04650
b41f13 ec4700 d28f6b d1da0b 50f7ff 487fb6 004bef 9baaf5 a093a3 984d5c
cf2213 b99945 c4cbb8 8ffc5a 829889 69bcd5 004bf4 5e7cd7 a7128a 855a67
fbd0c3 885940 a68b0a 919e8a 25de59 487eb1 004bfc cfd2f0 cb95fd 665d6e
946d68 aaa807 d7dd36 017809 0cd88c bacece 4d9ca5 004fe7 6d6aad a387f3
8b4e25 b3f616 8ac219 2ab06b 4cf2a5 327664 0050ed bb83e4 f827a0 f7c8e2
e58472 695542 9a7109 cce80d 96dfc2 0050fd 8b8cf9 635fa7 9383a0 dcabe3
dcb576 c1870a 928b72 cbef1c 3c6f22 81ede2 96b2d1 5c88cf 0051e7 b90c85
ce6464 c7eb8d 5bcf19 516d88 4b87e0 0053e9 8c96ad efc5fd b41c30 ee9fa0
9e402b f8a480 54ff1b 04a720 c3d7d3 0055e5 65698e a78dff e0b7f8 bf7b87
a7452d cb763b dce502 9ca49f 51ecb0 4c7971 61a8c5 0058f6 c8d4fe 655195
a74f2c d2860e b9d18a 81ada0 51d2ff 2798ff 0058fa 9f6b9c fdcfdb 6a5358
fab290 b9881e d7dd0b 496812 29906b bee6da 04bfc5 005ee6 a18afe 7e659c
cf8506 6a793f 79e376 cee0d2 9aaaa1 32645d 538fd0 005ef6 794891 d0b2da
907b29 f5db68 a3b113 69ecbb 11b8a4 005fb6 bbc8ec 8980f5 7a7493 a7235c
e78a7e 80463e a78014 bfdf0f 77fca6 005ff7 627cb3 a1b2f8 bc2b7a d4b0c1
b85420 9c8573 f4a76a efe105 a6b7b1 a5dbf7 229df9 0063b9 777e8f 6a5354
f5cfc8 b03c14 c39a89 d07523 91df69 4793ab 006486 c1b2f1 6937e5 8b6c70
c78a03 f9d054 56680b 8eb59c 78f9c6 00648b 4181e5 9388a1 cdc3d9 9b4c5e
ec8e79 c8ce2e 5e6f54 239000 c8e5c3 67e7ee 0064c7 9089f6 96749d 6f4d66
de6303 dfb268 617e6a 91b4a2 8cf6c2 06ace1 0065c1 e2ccf4 8b3973 be1e25
7b791e a5a324 ccd444 386c54 51f9c4 0065ed 708fba b6bee7 7a437b ea8494
a29126 d2c81b 207101 8fe3a3 0067d6 abacb4 d9dbf4 fa84f3 97226e eb3778
b07760 943f13 ef952f ceee12 71e391 4697e4 0067df 637794 f8b9fa b99eae
b56b38 e8ab03 ebdc8c 03b083 77dccc 0067ea a2a6db 857588 894391 9e274a
ef9a8e b0b51f a2f474 276e14 619fc2 0067ff d3ccf0 868488 8840a6 e2245a
