# colors_mcd18.0_mld2_nc8_cvd100.0_minj40_maxj90_ns10000
# Python 3.6.6 |Anaconda custom (64-bit)| (default, Jun 28 2018, 17:14:51) [GCC 7.2.0]
# NumPy 1.15.1, Numba 0.40.0, Joblib 0.12.3
004ffa 447c62 9593e5 a0edfd a7ae0d af3108 e69f97 f81ca2
0051f7 17a315 1fda7b 79877a 7d558f a7f500 cabec7 f86cf2
0051fd 08fdf8 0e8c39 22cf38 980898 bf79fe c6cbaf da50a0
0052ed 6482b9 7d735f 7dc1ea b90305 ded254 e694a5 f55703
0055d6 33a8fb 4cfebf 908296 9ac1cd be5153 ca9e63 cde10d
0056d8 12e88a 5b91cc 9c9374 aa386c aef511 dfc7ed e61201
0057f3 1be6da 5f92fe 7d6788 89404f a5ed3e d2380d f37682
0058d3 10f4f6 55aee5 837289 a3494c baf227 dacba9 eb7046
005aed 1bfa2a 32aaae 6c4d81 9d505a b2a57c c5dfd4 e53b02
005bfe 25dfc2 3b9997 93129b a4e759 ad94f5 bb2840 c58b59
0062ff 2fe209 4c7d74 7b3f97 8c9ce7 aa6e07 e3cfe9 ed9d99
006968 2b9e76 772afb 9deca4 be3e19 c2c917 fd5bd7 feacd4
006969 4b9cc7 5bdfe0 7e6013 80b817 9e0dff ad9691 e4e28c
0069df 13baf4 73f4e9 759a7e 7b5382 963b3f e1af39 e92c10
006caf 19a0fd 5a5e3d 6df835 80b264 a07989 d5e4bf d8b1d1
006cd2 10ffa3 1faccd 646063 933a11 968e5a c9d4da deac2f
006cff 186e32 45a40e 50ef04 944882 b8b698 c984b0 cedef6
006d84 10bf0d 83ecfd 8e08f5 8e8480 c51a35 e7bc91 f637e7
006d85 26db51 779d94 8756fb 953148 d11b1a e5cdce e781db
006e5c 45a17f 818617 9dedf3 a202b1 acbc12 d84ffb f9c5a6
006ebb 34f955 5aa5be a30f6d cc627e d70b02 dbd7f3 edb1ac
006ee4 695182 82d58c 984654 b1a3dd d42317 d9668c ead619
006f12 0fa061 45e4ae 801cff a3c115 bb5cff cd1ea0 f576c3
006f32 889dff ade2bc b51ec7 b69fb8 e7d3fd f04273 f6a02d
006f7c 29fcc0 31ad08 804b3d 959893 9ee323 c855cd f09fe5
006fb3 1df6ba 75a8aa ab0562 cadcf8 d2ce4d e85d5e f17cff
00700d 00efb3 609e1f 903de2 9cd423 c1a8c5 d32372 ea6cfd
007065 23c4e9 8324bd a3e536 a85ff7 be4b14 d48a6d eecfc1
007146 1bca22 6f4c72 899b84 b512e4 badee3 dde38d fc51c2
007186 1cdeee 6aa0a3 850ee3 9e2910 a371e5 b9ed5c e47945
007187 01eff6 7328e1 739ae9 9eba33 c84b49 fcd598 fd8fac
00722f 039bb7 11e392 8309cd a89307 bed3f7 d1e415 e42978
00726d 06b8b5 6d28de 81a15b 84f005 9463bc c0171d f8d5c0
0073f0 1ab782 545c52 71f683 9d6f2f ad0d8b d6dee9 e189cb
00744f 4adae1 6e7d04 98b044 a22eb0 b3f329 d866a0 e1cbae
007467 60b391 6efac1 960bab bfda56 ca62e2 d81019 f2a5fb
007505 17beac 7ca055 81f2c0 9726d3 b6d306 c62b7b e291fd
007581 5aa80d 5df7ef 8818de 8f8971 99340c ccde29 ec64de
007696 596c16 6c16f9 80b228 99f51c b77476 bba0de fbb5bd
007716 18fa8c 5581fd 7228e6 a1b1b2 bb9d27 c64297 edd2fd
0077ff 16f3d2 30c21e 834b8e a03122 baf30a d1a4f7 dd7a91
0078ae 03fbea 1fb2cc 8d3b66 9bc78f a08089 b60226 ff7b06
007959 36f4fc 44c83e a18ccb a22d01 b909f6 f4b7b1 fc2c84
007c25 7aaf13 a823fd bd148d c07473 c2cfcf ca94e4 e9dc68
007f19 02b4fd 6e13fd 8edeb0 a1c027 aa9179 ba5693 e7d1f0
007fdb 5e607a 70e79f 979bbd a44336 b98b57 d0d2ea f0e037
007ff4 41c6e9 537a69 894b02 8fae96 abefac b6963d facf28
00807a 4fcaf3 9262c4 98b0a9 b0071a b3ebc6 e9d418 f16346
00816a 7d8fad 950caf a3dfed ac3324 c73cff d3c2ad fe7a2f
008265 08e8c7 5b6105 86b571 8e06ff c599ec ce18a0 f4df1d
00839a 15fef7 70a92b 8029cc 8ce22a 935258 bc8af7 e1d0ab
0084a3 1aaffe 6e1cfc 909f9c 98e7ec a58c07 b91f43 e5b98a
0085f1 5f665c 6e9397 947403 99088a c2ec93 d9aef4 f17e66
008620 5fcf19 666863 918cfa a212a4 a39d8f c2c6fc ecd3d6
008671 52f3b8 8924aa bda005 c51b01 cec3ec db58c0 fad708
008722 08e60a 6a02ff 6c666d 89a69e c1e8c3 e710c3 f7b7e6
008834 6d23ec 6e647e 74b415 9d9686 c0bbe7 cb58dd f9d77a
008927 5af671 5e27fe 60ba05 8565ca b4106f c1c0e6 c59a9e
008939 744d62 8cb877 8fe5dd b28094 c5a3fb d10cd2 eac214
00895a 3fd88e 949915 9712fb b251b0 b80104 da99dd dbe134
008b85 2fffde 33c28b 6e01fc 7e5b27 abc83a d03eda de97e6
008f60 32f9a3 7f4566 b2120c b89918 cfed22 d515b7 f7b8e3
008f63 8b3394 920fff 9aefd0 adb013 b91301 cf60f0 f9b0fb
009198 48d7f3 663dc7 84a47c aa6afc b37300 b80f4c d3dc03
009288 0df600 90ab72 a00ac7 b36efe c1eab6 c2224e ec9bea
0093aa 4cffab 9e27dc a31b5b b4cfde c0897e fbcf06 fd3c0a
0093fc 4de4e1 526773 767015 7b01e7 91a280 ded8a6 dfa519
00940d 30f6e1 9418ec 9a2c46 a0d628 ba94fe d642a7 e992a0
009595 3be0da 6f36c9 a36d0c af82fa b5ef0f bc205c c0a46a
009703 6d5356 7841fd 7facfc 9ef35a a42392 e8c1d9 ea7598
009a06 02f0b7 6246e3 937add 946580 9a2a3a add313 d5a0ce
009c8a 0848fb 6166a8 7efe07 9d96fd b1bc68 dd1751 eba3c7
009dc2 4155d2 63836b 853d70 99e7b7 c1ab31 c51704 cdc6df
009dc8 077739 33f24f 79a94a 8f03c1 d9cdec e8a4aa ec0a86
009deb 4c7c33 6caf4f 7641d2 87f8b2 ad4c89 c4e526 c6a8b4
009ffc 207a78 2afeb2 7153b1 8b4c0e 9ea29d accce3 e69757
00a15c 155cd8 5ee6ae 766b92 98ba1f a31f28 f6d0f2 fe84fc
00a1ac 50e6b9 7b35aa 999373 aa2f48 c4ea1f e37b19 f4bcf7
00a2ce 3852d6 8cf44c 8e5c0f a39d33 d8386f e1daf4 eeadac
00a2e8 25e1f7 8614e6 98a76c a06894 b6e2c9 bb142a f1ac00
00a313 31f0f9 3652fd 426851 885b8f 9a8be0 9dd320 c99991
00a4fb 2155d5 4b8e1d 69e5fc a1c3ab a6365e a76f99 ced01e
00a58c 39f0bf 558200 85b34d 8a2cfe aa1e54 af67bb fed917
00a64f 8c586d 8ee719 9532fa 9ba2d2 b60401 baa4a5 fccfaf
00a876 3a53d9 4adf9f 646e2e 928edb 9e547d c79e19 caed39
00a895 0cee71 297170 8e58c4 982f2f db4705 dbc9df e77efa
00a8b5 446d5a 77e1f7 8553f1 96248b a3a287 b2ef1f ce6f23
00aad7 446904 8debfc 99922d a027c8 c3dabe ee1d8a f4c42c
00ab85 6621f8 676426 80ad18 b9e2d7 d5d479 dd29a9 f292e1
00ab9f 33e6b4 4252e8 8780d9 9f1a56 a2724b cacbee f9ce2a
