# colors_mcd18_mld2_nc8_cvd100_minj40_maxj90_ns10000
# Python 3.6.6 |Anaconda custom (64-bit)| (default, Jun 28 2018, 17:14:51) [GCC 7.2.0]
# NumPy 1.15.1, Numba 0.40.0, Joblib 0.12.3
# Python 3.6.6 |Anaconda custom (64-bit)| (default, Jun 28 2018, 17:14:51) [GCC 7.2.0]
# NumPy 1.15.1, Colorspacious 1.1.2
88e0ce 5783de 0045fe c4b5f7 a62c23 e37a34 e2de3e 65756e
5df7fb 004bfb 6b5ea0 e582f8 9c798c c6c4b2 19752d 0ec74b
767d8d 0050ed f2d2f0 f55be6 8b4e25 a7de20 2ab06b 4cf2a5
7d8487 419ced 0050f2 facdea a73441 c27723 b3b09d a2e25c
c1d0d6 0051eb 5d637d 979598 d272ec c55055 fe8b04 73f795
3293ea b4b3b5 0051f2 785786 c56218 eeb003 acf1b4 417862
76f0fe 63aedd 0052e0 71687a f7c6a9 a69310 9fe008 518859
b2cceb 63a2f6 0052f4 c33893 d1ad9f 947e30 d5eb3d 596855
b9d3f7 0054fc 8297db 6963a1 b4adaf a21f4f db6c46 f9d252
0054fd 4b5a8c ddccf3 d475c2 9c581c 2ed03b 82997d b0edc5
7acad8 1390f8 0055d2 6f597e b72c12 9f9b0f aedd39 447d5e
0056df 6888f4 d0cef4 625e8a 9d8a9f db7d72 885d25 8ef967
0058fa 8c8bf9 9f6b9c df9bc4 dd636a 8d4416 b9d18a 8efe00
79e8f4 005beb a190ea 785e84 fcab9a ad8d2c d7e949 557d5f
99a1a7 005cb5 5f8ed9 cfd3ea bc3f6e bb8f08 4a6a08 5dda82
426464 2db8fa 005cf5 9a9fad d6d1d6 de7570 946523 81e758
005db1 f8b4f9 f25cf9 8e546a a89796 cc451d 6fd40b cfdbc9
38a0e1 005dd4 dbcaf4 ac5c8e c22544 f78055 ffd729 93c1a8
0061f0 7a7c8a ddd3f7 bd8cec c78c13 6e602a edd042 76c7ad
adc8ca 5a97ce 0065d5 823f6f bd626c 5e6508 91a01c 0df634
006679 78909e 8e00ef dcb7dd ef3cf3 a97b02 656f48 5fd758
0066df 9aa6f5 764883 f7adbf c16a68 aa9d11 c5e005 516c11
0066f0 bac8e6 928dd4 a91897 936e5d e3bb20 7df7cf 12b99d
81e3d6 0067ea a2a6db 857588 9e274a b56b38 f19716 ebdc8c
006880 96cde9 8517f9 b177ee d27c94 f6c181 92ae00 687c25
006896 b589d1 ddd4d9 9c2a0f c47d09 fcba1e 67665e 56be86
95a4af 349efc 0068be d5ccf6 8d616d 993702 e39d51 29fbc7
00695d 559494 bcace5 ac42cf af290a d37720 f7bd17 5bdb94
006969 9da7a8 87befe d7dbe8 9e77b6 9b04b2 fcb27e 608430
0069aa 8295e2 d2c1db 8d7a7d 913f1f cf6e3a b3f120 4ada9e
0069ed d6dcfe c68ec7 cb5c82 894a2a d9d53e 6f9e29 46f8b7
04a296 65628b f346ec 816a19 d9ea34 8bb857 006a54 96e8ce
6d5ecd af89fd d6a1c9 7c5868 d1e30c 006c24 0c9e3d 83e897
a8c9d9 006cf8 8b8eb1 a00793 d02b19 eb886c d0d905 477466
25d7fe 8e9fa5 3c6dea 805378 c0585f fbbd9d cceb19 006d00
9755d4 c68fca fac9f2 a94c72 59b109 1afd04 006d0f b3cfb0
81eaff 8097f6 a719fc d32a92 de8a63 e9cc27 006d44 b8cebe
006d5f 0b9f9b b5c0e3 9a34b2 d865f1 c7b840 858948 48f5c0
b7cbe5 8397b9 8b38d9 e33a83 877f1b c1b83c 3cf3ac 006f4f
006f5f d9dbf0 864897 c87fb6 c91116 f6c3b3 08d402 7c987a
c5c7d5 c590ea ad4bcf 942477 f15996 2ca624 16e14b 007147
751adf ceb2f2 c24df2 805781 baf12c 638a26 64ca67 00714f
007365 94dae8 b29cff bd31d0 776900 a2990c ccdf5d 53a189
2efbf8 72a8c5 9e3ddb c46e85 faba37 838a16 b8e2ac 007444
c8e1ee 8495ad 0074e6 9e2f89 968a23 ced837 356a4a 36d296
7b07f2 815da1 e3d3e6 d387ea b0e29d 0cc02f 999a96 007645
007680 988fcc a342fc eebdff 956248 b49c74 68e504 d1dfd9
007682 dbd7ed a89fd4 b030e4 ae2240 e59182 968605 1ffa27
a8e0d8 49b8c8 9b44bc 9f1d67 df4a7a e3a271 d2e622 007716
aac5d2 2badff 0078bc 888c97 bd0c5b c37d58 ced80a 0ffcac
0078dc aab6e3 93879b a12f04 be8801 e5d500 56725b 50e9ad
27c3cb 8986f4 776f88 8524b1 c38b64 ded362 007903 b7e7d1
99cbe8 8e6bff 7c0fda 8d547f 948f8d d79a60 c5ee57 00792c
6b2ff2 b85edb f0ade4 757411 cfe38c 0bca13 90a88c 007960
48bba8 4afae7 00797e a046d3 e89afd 963422 969222 d2da8d
84c7fd 0079dd 83457b ae81a4 c95067 dfd61f 86a506 c9e3c6
91f4de 007b6b d3bcfc ae22de a68aac 963133 fb280e fdbe81
84b6ec 007bed 827a98 8e3a5c f2bcc4 dc7b7e b9f25b 3e7a21
007c83 b9daf7 9101f9 f439ca 8a444a d8c6b0 988343 0ed40b
01b0a8 007c85 8682de ccb9f6 8921f6 978125 5a654e 1ef66a
87f2ec 007ce1 a9aff2 765383 9f2344 cfe050 7c8f3b 14c1a3
