# colors_mcd18_mld2_nc8_cvd100_minj40_maxj90_ns10000
# Python 3.6.6 |Anaconda custom (64-bit)| (default, Jun 28 2018, 17:14:51) [GCC 7.2.0]
# NumPy 1.15.1, Numba 0.40.0, Joblib 0.12.3
a62c23 e37a34 e2de3e 65756e 88e0ce 5783de 0045fe c4b5f7
c6c4b2 19752d 0ec74b 5df7fb 004bfb 6b5ea0 e582f8 9c798c
8b4e25 a7de20 2ab06b 4cf2a5 0050ed 767d8d f2d2f0 f55be6
c27723 b3b09d a2e25c 7d8487 419ced 0050f2 facdea a73441
fe8b04 73f795 c1d0d6 0051eb 5d637d 979598 d272ec c55055
c56218 eeb003 acf1b4 417862 3293ea 0051f2 b4b3b5 785786
f7c6a9 a69310 9fe008 518859 76f0fe 63aedd 0052e0 71687a
d1ad9f 947e30 d5eb3d 596855 b2cceb 63a2f6 0052f4 c33893
db6c46 f9d252 b9d3f7 0054fc 8297db 6963a1 a21f4f b4adaf
9c581c 82997d 2ed03b b0edc5 0054fd 4b5a8c ddccf3 d475c2
b72c12 9f9b0f aedd39 447d5e 7acad8 1390f8 0055d2 6f597e
db7d72 885d25 8ef967 0056df 6888f4 d0cef4 625e8a 9d8a9f
8d4416 b9d18a 8efe00 0058fa 8c8bf9 9f6b9c df9bc4 dd636a
fcab9a ad8d2c d7e949 557d5f 79e8f4 005beb a190ea 785e84
bb8f08 4a6a08 5dda82 99a1a7 005cb5 5f8ed9 cfd3ea bc3f6e
de7570 946523 81e758 426464 2db8fa 005cf5 9a9fad d6d1d6
a89796 cc451d 6fd40b cfdbc9 005db1 f25cf9 f8b4f9 8e546a
f78055 ffd729 93c1a8 38a0e1 005dd4 dbcaf4 ac5c8e c22544
c78c13 6e602a edd042 76c7ad 0061f0 7a7c8a ddd3f7 bd8cec
5e6508 91a01c 0df634 adc8ca 5a97ce 0065d5 823f6f bd626c
a97b02 656f48 5fd758 006679 78909e 8e00ef dcb7dd ef3cf3
c16a68 aa9d11 c5e005 516c11 0066df 9aa6f5 764883 f7adbf
936e5d e3bb20 7df7cf 12b99d 0066f0 bac8e6 928dd4 a91897
b56b38 f19716 ebdc8c 81e3d6 0067ea a2a6db 857588 9e274a
f6c181 92ae00 687c25 006880 96cde9 8517f9 b177ee d27c94
9c2a0f c47d09 fcba1e 67665e 56be86 006896 b589d1 ddd4d9
993702 e39d51 29fbc7 95a4af 0068be 349efc d5ccf6 8d616d
af290a d37720 f7bd17 5bdb94 00695d 559494 bcace5 ac42cf
fcb27e 608430 006969 9da7a8 87befe d7dbe8 9e77b6 9b04b2
913f1f cf6e3a b3f120 4ada9e 0069aa 8295e2 d2c1db 8d7a7d
894a2a d9d53e 6f9e29 46f8b7 0069ed d6dcfe c68ec7 cb5c82
816a19 d9ea34 8bb857 96e8ce 006a54 04a296 65628b f346ec
d1e30c 83e897 006c24 0c9e3d 6d5ecd af89fd d6a1c9 7c5868
d02b19 eb886c d0d905 477466 a8c9d9 006cf8 8b8eb1 a00793
fbbd9d cceb19 006d00 25d7fe 8e9fa5 3c6dea 805378 c0585f
