# colors_mcd20_mld2_nc6_cvd100_minj40_maxj90_ns10000
# Python 3.6.6 |Anaconda custom (64-bit)| (default, Jun 28 2018, 17:14:51) [GCC 7.2.0]
# NumPy 1.15.1, Numba 0.40.0, Joblib 0.12.3
05d274 0046ff dddae2 7a5396 e088db c62b45
a03602 e8a166 6a6f68 b0d3f2 5d89b9 004af5
8c863e c1c6b2 97e2fd 259ed1 004deb c52f7d
b8bc0c c4e6c9 39a8f0 004dff bc5c88 da0006
c27723 a2e25c 7d8487 419ced 0050f2 facdea
b48f1c c8e678 50e1f3 0051e0 4e8cfe bc3f66
836141 e0e036 8fb86c 09e6f0 5e7f9d 0051fa
e27656 cbeb6f 2bcff0 89939a 0056e7 a14156
d2c296 21a1e6 b9d7f5 0057cf 66606c ff233f
9d5b20 dfa961 568274 97d0d0 0058dc a580cb
7a4c43 ae804d e3cc46 9dc2c0 0058ef 777a94
dd4321 c1bba9 39daf1 6e93a7 005bcb 995a64
f2530c abd886 5d756d 55effe 005cc7 d785ae
8fb804 97d5ee 5d99d5 005df0 7a6479 eb9d9e
905544 72f64a 0cb81f 005ecc beb8e8 807692
859751 b3eb93 55a69f 005fbe e3b5fb a53660
985b2a edc835 92c3b8 005ff5 7a83ac 625864
a56653 8faf05 0dfcc6 39aa9b 0063b1 e18af3
877551 aaee55 536673 0063fb e685b9 f7d3d7
877215 d0c81e 62e6b6 4b6165 0064f0 878ab1
656f48 96a291 5fd758 006679 dcb7dd ef3cf3
f6c181 687c25 006880 96cde9 8517f9 b177ee
756a18 a0f637 16c45f 0068b1 dd99db a0135a
993702 e39d51 29fbc7 95a4af 0068be 8d616d
af290a f7bd17 49a171 00695d bcace5 ac42cf
cf6e3a 0af58e 0069aa 6f96f8 d2c1db 8d7a7d
8d3d1c d98908 03f9ab 006cca 6b6e78 c2adda
eb886c fed735 a8c9d9 006cf8 7c85ad 933c53
59b109 006d0f 80dffa 9755d4 a94c72 cfacae
fbaf54 006d0f 88a7fc d3d2e6 8658e3 a38f96
fbb6ab 0ebe26 006d4e bea5f1 923fe3 c0699a
c7b840 858948 48f5c0 006d5f b5c0e3 7987d0
9bdb72 006e2e 9a46fe c886ee e2d6e1 f90093
7cee10 006f06 dbdbe6 a295e6 96439e ff276e
e8d3d2 78ef13 006f25 11a666 a15bf9 954e77
c8ab67 007034 8c9a9b bedce7 705f7b b41cde
d23c0c bce48f 48ac77 007064 7d48ca ed6ebb
665b25 d1bb11 679b61 007071 afd1ff bb3bd1
cf9d2d 007245 57fdc7 24b39b b3b3ef ab2ae5
f89a6f 00731b 1bddfb 8c2bf8 a284a5 7f4463
645b16 a2990c ccdf5d 007365 94dae8 bd31d0
62770a 86ab69 bfe7a0 00755f b21ddf d4a3bf
b0e29d 0cc02f 007645 815da1 efd2fc d387ea
897726 cbee0e 5ae0a0 00766e 7d59ca de86bf
