# colors_mcd16.0_mld2_nc10_cvd100.0_minj40_maxj90_ns10000
# Python 3.6.6 |Anaconda custom (64-bit)| (default, Jun 28 2018, 17:14:51) [GCC 7.2.0]
# NumPy 1.15.1, Numba 0.40.0, Joblib 0.12.3
85790b b6ec41 7ab508 0ec584 01815f 67fae8 0046fc cab0ff a11196 ff1eb5
f0c5b5 74fb27 338838 1dc847 0049ff cdbdf3 a477ef ea019d 73595f bb9799
fdd3b7 63a012 15dc16 bdd8e7 0050fb 8a62b0 c488dd 824060 bd073a f687a4
bb847c b8270c 88e325 67b01a 08f9fe 3f606d 51aff6 0055fd 8a86a1 dab5c3
c8a496 aa4f0f cee13a 93a73d bfeaca 6a8584 7dc1ea 0056ec 60556c a56cbc
ea9410 625b08 8f9067 c8e98d 7de1f3 40a5fc 0058f9 ff21a9 98556b cfabac
794e4a d99c87 eedf4a 9cb418 538a2e 2eeee8 82a9b4 3b94fa 005cea bb037f
e2cfba 7c7b00 aef155 a2a3a1 27b75a 60ddf1 005cff 9b09a7 b469ad c11f5a
e5dada 595e12 92f331 4ac596 637ea4 005ffe b987ff e1a1d5 a1306c de4654
6f615b d85001 c6d0a8 93a376 60d223 0bf3eb 3f9da2 006484 c208d8 f179f1
7d6148 c5e07f 678e10 76c407 11d3f5 1295e2 0064c2 902d7b d36e8b ecb0b6
f9cb7d b6ad04 b3d2c4 63d0e8 129dfd 0067dd 9f0d83 995d76 d47d8d e82945
88b556 488b25 2afda0 0067fe b689e7 744c9e f0b8fa b26b9d ee8eaf 92364c
7e5500 92f556 27ab03 006a53 9341f4 d680f9 ad0094 d6c3d3 e61c7a fc8395
885210 e9de3d 9db149 708c64 baddc3 006b6a 4dacac 01e2f6 c97dfb af22f5
f8a496 9f2911 6d6563 a9845b c1e311 92b205 12e3dd 006b8e 2da1d1 7a5cf3
a99f0b 747408 cbdec7 1df55f 006b92 a97bf4 8328f6 fea4e7 96324d f46e91
e6ad0a dce491 688c05 006c24 009b6a 9bdae2 ca71f3 b30da7 765c6a fc6aab
f85b28 c9cc7a 6c9882 23f7dd 006c79 27b1fb 6615fd 988cae 9c56c7 b22839
ffd727 a8d483 317106 429e38 5fd0d9 006ce5 9e8fe7 926c9a a40a5d c69498
de978e 858a07 a8c02f 006d27 27f6d6 4d9df5 adc0ec 2156ed 696896 c84b67
ed746c c3e645 5c8e0b 006d2b 3dedc7 71b5b9 228ff8 9008fa 7d7481 85428b
dd987d 66833d 55f95b bad2c8 006df1 8ca3e2 f3ccff a4649f a898a2 a10a65
9c432a ebd9d2 adbe7e 24ff09 01ac11 006dff 5b5098 fb9fdc df629b 7c6367
