# colors_mcd18.0_mld2_nc8_cvd100.0_minj40_maxj90_ns10000
# Python 3.6.6 |Anaconda custom (64-bit)| (default, Jun 28 2018, 17:14:51) [GCC 7.2.0]
# NumPy 1.15.1, Numba 0.40.0, Joblib 0.12.3
e69f97 af3108 a7ae0d 447c62 a0edfd 004ffa 9593e5 f81ca2
a7f500 17a315 79877a 1fda7b 0051f7 7d558f f86cf2 cabec7
c6cbaf 22cf38 0e8c39 08fdf8 0051fd bf79fe 980898 da50a0
f55703 7d735f ded254 7dc1ea 6482b9 0052ed e694a5 b90305
ca9e63 cde10d 4cfebf 9ac1cd 33a8fb 0055d6 908296 be5153
e61201 9c9374 aef511 12e88a 5b91cc 0056d8 dfc7ed aa386c
d2380d a5ed3e 1be6da 0057f3 5f92fe 7d6788 89404f f37682
eb7046 dacba9 baf227 10f4f6 55aee5 0058d3 837289 a3494c
e53b02 b2a57c 1bfa2a c5dfd4 32aaae 005aed 6c4d81 9d505a
c58b59 a4e759 25dfc2 3b9997 005bfe ad94f5 93129b bb2840
ed9d99 aa6e07 2fe209 4c7d74 0062ff 8c9ce7 7b3f97 e3cfe9
be3e19 c2c917 9deca4 2b9e76 006968 772afb fd5bd7 feacd4
ad9691 7e6013 e4e28c 80b817 006969 5bdfe0 4b9cc7 9e0dff
e92c10 e1af39 759a7e 73f4e9 13baf4 0069df 7b5382 963b3f
5a5e3d d5e4bf 80b264 6df835 006caf 19a0fd d8b1d1 a07989
933a11 deac2f 968e5a 10ffa3 1faccd c9d4da 006cd2 646063
b8b698 45a40e 50ef04 186e32 006cff cedef6 944882 c984b0
8e8480 e7bc91 10bf0d 83ecfd 006d84 8e08f5 f637e7 c51a35
d11b1a 26db51 779d94 006d85 8756fb e781db 953148 e5cdce
f9c5a6 818617 acbc12 45a17f 006e5c 9dedf3 d84ffb a202b1
d70b02 edb1ac 34f955 5aa5be 006ebb dbd7f3 a30f6d cc627e
d42317 ead619 82d58c 006ee4 b1a3dd 695182 d9668c 984654
a3c115 006f12 0fa061 45e4ae 801cff bb5cff cd1ea0 f576c3
f6a02d ade2bc 006f32 889dff e7d3fd b51ec7 b69fb8 f04273
804b3d 9ee323 959893 31ad08 29fcc0 006f7c c855cd f09fe5
d2ce4d 1df6ba 75a8aa 006fb3 cadcf8 f17cff ab0562 e85d5e
9cd423 609e1f 00700d 00efb3 903de2 c1a8c5 ea6cfd d32372
d48a6d eecfc1 be4b14 a3e536 007065 23c4e9 a85ff7 8324bd
dde38d 899b84 1bca22 007146 badee3 b512e4 6f4c72 fc51c2
9e2910 e47945 b9ed5c 6aa0a3 1cdeee 007186 a371e5 850ee3
c84b49 fcd598 9eba33 01eff6 007187 739ae9 7328e1 fd8fac
a89307 d1e415 00722f 11e392 039bb7 bed3f7 8309cd e42978
f8d5c0 81a15b 84f005 00726d 06b8b5 6d28de 9463bc c0171d
9d6f2f 545c52 71f683 1ab782 0073f0 d6dee9 ad0d8b e189cb
e1cbae 6e7d04 98b044 b3f329 00744f 4adae1 a22eb0 d866a0
bfda56 60b391 6efac1 007467 ca62e2 960bab f2a5fb d81019
b6d306 7ca055 007505 81f2c0 17beac 9726d3 e291fd c62b7b
99340c 8f8971 ccde29 5aa80d 5df7ef 007581 8818de ec64de
596c16 80b228 99f51c 007696 6c16f9 bba0de fbb5bd b77476
bb9d27 007716 18fa8c a1b1b2 5581fd 7228e6 edd2fd c64297
a03122 baf30a 30c21e 16f3d2 0077ff d1a4f7 834b8e dd7a91
ff7b06 9bc78f 03fbea 1fb2cc 0078ae 8d3b66 a08089 b60226
f4b7b1 a22d01 44c83e 007959 36f4fc a18ccb b909f6 fc2c84
c07473 e9dc68 7aaf13 007c25 c2cfcf a823fd ca94e4 bd148d
aa9179 a1c027 007f19 8edeb0 02b4fd 6e13fd e7d1f0 ba5693
a44336 b98b57 f0e037 70e79f 007fdb 979bbd d0d2ea 5e607a
894b02 b6963d facf28 abefac 8fae96 537a69 41c6e9 007ff4
f16346 e9d418 b3ebc6 98b0a9 00807a 4fcaf3 9262c4 b0071a
ac3324 fe7a2f d3c2ad 00816a a3dfed 7d8fad c73cff 950caf
f4df1d 5b6105 86b571 008265 08e8c7 c599ec 8e06ff ce18a0
e1d0ab 70a92b 8ce22a 15fef7 00839a bc8af7 8029cc 935258
e5b98a a58c07 909f9c 98e7ec 0084a3 1aaffe 6e1cfc b91f43
f17e66 947403 c2ec93 5f665c 6e9397 0085f1 d9aef4 99088a
a39d8f 666863 5fcf19 008620 c2c6fc 918cfa a212a4 ecd3d6
c51b01 bda005 fad708 52f3b8 008671 cec3ec 8924aa db58c0
08e60a c1e8c3 008722 89a69e 6a02ff 6c666d e710c3 f7b7e6
9d9686 f9d77a 74b415 008834 c0bbe7 6d23ec 6e647e cb58dd
60ba05 5af671 008927 c1c0e6 5e27fe 8565ca b4106f c59a9e
eac214 8cb877 008939 8fe5dd c5a3fb d10cd2 744d62 b28094
dbe134 949915 3fd88e 00895a 9712fb da99dd b251b0 b80104
7e5b27 abc83a 33c28b 2fffde 008b85 6e01fc de97e6 d03eda
b2120c b89918 cfed22 32f9a3 008f60 d515b7 f7b8e3 7f4566
b91301 adb013 9aefd0 008f63 920fff cf60f0 8b3394 f9b0fb
b37300 d3dc03 84a47c 009198 48d7f3 663dc7 aa6afc b80f4c
90ab72 c1eab6 0df600 009288 b36efe a00ac7 ec9bea c2224e
c0897e fd3c0a fbcf06 4cffab 0093aa b4cfde 9e27dc a31b5b
dfa519 ded8a6 767015 91a280 4de4e1 526773 0093fc 7b01e7
a0d628 00940d 30f6e1 ba94fe 9418ec d642a7 9a2c46 e992a0
a36d0c c0a46a b5ef0f 3be0da 009595 af82fa 6f36c9 bc205c
9ef35a 009703 7facfc 7841fd a42392 e8c1d9 ea7598 6d5356
add313 009a06 02f0b7 6246e3 937add d5a0ce 946580 9a2a3a
b1bc68 7efe07 009c8a 0848fb 6166a8 9d96fd eba3c7 dd1751
c51704 c1ab31 63836b 99e7b7 009dc2 4155d2 cdc6df 853d70
79a94a 33f24f 077739 009dc8 d9cdec 8f03c1 ec0a86 e8a4aa
c4e526 4c7c33 6caf4f 87f8b2 009deb 7641d2 ad4c89 c6a8b4
e69757 8b4c0e 9ea29d 2afeb2 207a78 009ffc accce3 7153b1
98ba1f 00a15c 5ee6ae 155cd8 766b92 fe84fc f6d0f2 a31f28
e37b19 999373 c4ea1f 50e6b9 00a1ac 7b35aa f4bcf7 aa2f48
eeadac 8e5c0f a39d33 8cf44c 00a2ce 3852d6 e1daf4 d8386f
f1ac00 98a76c b6e2c9 25e1f7 00a2e8 8614e6 a06894 bb142a
c99991 9dd320 00a313 426851 31f0f9 3652fd 9a8be0 885b8f
ced01e 4b8e1d a1c3ab 69e5fc 00a4fb 2155d5 a76f99 a6365e
fed917 558200 85b34d 39f0bf 00a58c 8a2cfe af67bb aa1e54
b60401 fccfaf 8ee719 00a64f 9ba2d2 9532fa 8c586d baa4a5
c79e19 646e2e caed39 4adf9f 00a876 3a53d9 928edb 9e547d
982f2f db4705 0cee71 00a895 297170 8e58c4 dbc9df e77efa
ce6f23 a3a287 b2ef1f 446d5a 00a8b5 77e1f7 8553f1 96248b
f4c42c 99922d 446904 c3dabe 8debfc 00aad7 a027c8 ee1d8a
676426 d5d479 80ad18 b9e2d7 00ab85 6621f8 f292e1 dd29a9
a2724b f9ce2a 33e6b4 00ab9f 4252e8 cacbee 8780d9 9f1a56
938e56 27f27f 536264 00adff cad5f4 8921a5 d36aae bd0204
cb1514 ff6927 83fc82 00b08e 2349ef 967ded 7f4e73 efb2d5
b8724a f0b013 70e9cb 00b0a7 c5c1f7 917df5 693dfc 714693
8e7244 b8b20b 46f5bd 00b0f7 2661f0 cfdbfc 982181 ef5698
d3a832 24feaa 92acb4 00b0fe 2b76d8 883c6c b11338 e56079
a29613 a7ccb2 19fb65 00b0ff 5a4fb0 e8d2fa ed5daf ab243d
b6100c ffccc4 987364 6ff155 00b21b 246dd7 a3a6f3 91306f
745a14 b2e912 94a797 00b22e 2efdc9 6555c3 f295d9 b8316b
af2b13 fad1c5 6df00d 00b231 a499d2 6833ed 8a6062 ba8e90
8d7c78 ce792e addb0f 54f8f9 00b2fe 674fd3 dba5b1 a90b1e
