# colors_mcd20.0_mld2_nc6_cvd100.0_minj40_maxj90_ns10000
# Python 3.6.6 |Anaconda custom (64-bit)| (default, Jun 28 2018, 17:14:51) [GCC 7.2.0]
# NumPy 1.15.1, Numba 0.40.0, Joblib 0.12.3
0047fa 4dd02c 844d8d c3311f cec8ef de7193
004cfb 43daca 53a456 606452 a4639c c3e575
004fe6 8b4a4a 90bae4 c18382 d9cd1e e34607
0052ec 2ffc38 39acef 8f4d7d acaa84 d06204
0054ee 3ecaa6 407e07 a9217f aa94dc d4cf3d
0056e2 436f4f 69e4f2 7cad99 946c9d d96e09
0058ee 389f9d 66eb2b a65f42 dbdfd1 f19efa
0059d0 31f2f4 5f94c9 a8d49d b66d7e be001c
0059d8 757d94 7aa9f4 ac4038 d8e090 dc8739
005bce 69c9c5 7683a9 9d9631 b33066 f1cd2d
005cfe 1bafe0 30ffd7 9f1c90 b0bf3f bc7b71
005fbe 7eab0f 81590e 92f866 cc5e7c d2bfcd
0062a0 3b9ac2 955706 a7e114 d58963 f2c6cc
0062a2 02f8d2 1eb67c bcca09 c62e16 d484e5
0062f5 05eef9 28b23c 805217 d55490 dbe0aa
00687c 2bfbf6 52b4af 9a3e3a e120e4 f9bf3b
006969 0cf204 678f41 bebeff dc3ad2 dfaeb7
006c34 1cfa6f 6d9417 952ab0 ea97dd fd3592
006caf 0aa6fb 819713 983c45 a0c8db e7cb3e
006ce3 04def1 617a6a 775b04 ae9f1c b3ed53
006e0c 44f226 a291a7 ac36dc e92766 f3d5bf
006e1c 76e755 9c5ade c7696e d3d3cb f2a2ee
006ebb 80cbb6 91325f d74b4c dee70a df8eef
006ec8 75ecc6 7699bc 823d6f c6445d debb57
006f72 3ce043 8f09f6 958255 eb52d6 ffb5ef
006fd7 17e81e 9ba1d2 9e0977 ceb2ae ec0d61
0070ff 1eed36 972e40 a39663 e970ad f4cccc
007106 06ae00 86646d ade8de c02db2 ca96d1
0071f0 77447c 87d553 a82b23 dededa e07fa5
007272 866806 8985eb a0cde4 cbd2a0 f98c16
00727b 47eed2 64a2c2 8e34ef e3e218 f11325
007366 56fbf1 7592c4 9f1eff c76109 ebbc65
007385 8d28fe 968eea a2e9cd dd2820 f89800
00746d 06fcde 5dae79 926fc1 a84422 e1cc17
0076cf 20e764 79466b b7281a c86e80 dd9cf9
0077d4 2afa23 785a79 9f292f d7bfe5 f35261
0078eb 3ff2be 5f7286 96a5b9 b50220 bfb821
007926 31d160 5b566e 918183 b72cd0 eaabde
007962 4ca6dc 849725 8ae100 943398 e0b0b0
007a25 62fe26 63ae7e 8026df b56caa d2c0dd
007a6c 8005e9 914f1d ddd7d0 ecae5b fa2db4
007be3 08efd9 437331 853d6b a6d077 c37687
007c1e 45fdd4 705673 7bc464 d24bf9 ecaafd
007eec 24e580 a89cad b02c51 d37906 e1dae4
007f70 44ea8d 7f26f1 939a02 e268ed eac7f3
008411 2bc077 655493 bad4fe e0e427 fb31ff
00841a 21ceef a37a81 acf65a c6c1a3 ce1db8
0084f7 696580 7cc5d9 933a0c a28065 d4bc66
008566 7edb83 8c7df6 941d88 c00e0b dfbdfc
008667 62beaf 7b6603 a70797 dab406 ec31fd
00884a 50b2de 666373 89f346 a719c8 d6c3be
0088e1 33dd69 53746c 9e98ac da5003 fecbde
008d8d 53d4ec 9212f8 a0352f e6c59e f46833
008f0f 80cdfa 8616eb d25a86 d7dfdc fcbb39
009023 9824f2 9df088 a492a1 a72b79 f85df9
0093aa 6f3bc1 b01c07 c5d6e5 d8c297 f95313
009406 6742d7 b8cddd c570c3 cc0c73 e5d53e
00946a 01d5eb 7e1dd1 b9ae0a be050a cfe4bf
009518 11faf9 6948a2 999dbb c4e213 e3aa93
00964a 5e5972 5ecf02 bf5dcc cce6a4 eab7d9
009673 82f81d 9918f3 d860e4 dac6e2 e00a12
009c3e 747173 87cd1a 9606a1 c866e6 d7cbb0
009cf7 831eef 84577b 91c4db b2a38c be4e20
009dda 5944cf 5ffc65 98acac b89549 c30d50
00a07c 6be3b8 6c6704 770de4 a5cb3e e058d1
00a096 68f6ea 911abd bd73ed f3021c f9c167
00a188 536275 b8c4d2 ec2aea f1163a f3c694
00a1ac 17ed1a 3b6c0e 9536eb dbd2e2 ed6469
00a302 771cfc 78645d b0e3e6 f12caf f7c398
00a313 1257fd 16f129 6d6a9d 785046 e9a3ca
00a3cb 16fc3a 65803c 733acd 7e5677 d8b6b6
00a3ff 04f5da 860cf3 8d7734 afdd22 f230ac
00a891 78e0d6 9301da cfd97e dd62ed f90544
00aaf7 38f8f8 514eb4 7ebe29 8a6c49 ff93ad
00abef 2a66b7 42f4e1 825117 9fc860 a5878e
00adeb 2754cd 746b44 85fc0d cdb584 df5d98
00ae8a 246c55 908c12 a2c5d9 e042d9 f0c020
00afdb 3563a5 b6d8d0 d22253 d28000 e7d67d
00b08c 19fea5 6d5e49 7376a8 b9b3f3 ba7e27
00b0b8 3a52e5 835281 a1be8f c05a0f f3b508
00b0b9 0e777d 78ef3e ad30df dc640d e8d2c0
00b129 58f5fc 9211f3 aa263a ab5fa5 d4d69c
00b22e 77572c 7c2afb 91fc4d cf4298 e8ccf1
00b468 18fd32 296c13 79597f b1a7ba ea03f0
00b4f1 3efe1c 6434fa 788804 a45291 ed8880
00baef 1b55dc 865b15 a2ece7 e55997 fec426
00bb26 6b72c9 797058 80ecf9 d2e984 f781ae
00bb4e 047f23 793ece 978aee 987284 ace4e5
00bcff 5859e1 90f294 b5b3ba bf8f46 c42566
00c0f7 218859 8dfb08 9417c7 a79f0c d7d5b0
00c222 4045f5 6af9df a66a79 b51810 f181f2
00c6c4 1b6c2c 2778fa 9a983b c5567f e4d9a5
00c7c6 2e6c75 ac0525 ba15ef f4463f fdcf25
00ca5e 178816 692ef4 a73b7d b871e0 e2cae7
00cd99 256c82 a81413 b409f6 bdbfe7 fda418
00ce3f 445aef 4f6b2c 915d8f c187f5 c4cce2
00ceda 215bdb 727275 7eae67 9a5618 b6ef93
00d243 19920c 645d63 6c14f9 df4cc6 efb0ce
