# colors_mcd20.0_mld2_nc6_cvd100.0_minj40_maxj90_ns10000
# Python 3.6.6 |Anaconda custom (64-bit)| (default, Jun 28 2018, 17:14:51) [GCC 7.2.0]
# NumPy 1.15.1, Numba 0.40.0, Joblib 0.12.3
c3311f 4dd02c 0047fa cec8ef 844d8d de7193
606452 c3e575 53a456 43daca 004cfb a4639c
8b4a4a c18382 e34607 d9cd1e 90bae4 004fe6
d06204 acaa84 2ffc38 39acef 0052ec 8f4d7d
d4cf3d 407e07 3ecaa6 0054ee aa94dc a9217f
d96e09 436f4f 7cad99 69e4f2 0056e2 946c9d
a65f42 dbdfd1 66eb2b 389f9d 0058ee f19efa
a8d49d 31f2f4 5f94c9 0059d0 b66d7e be001c
ac4038 dc8739 d8e090 0059d8 7aa9f4 757d94
f1cd2d 9d9631 69c9c5 005bce 7683a9 b33066
bc7b71 b0bf3f 30ffd7 1bafe0 005cfe 9f1c90
81590e 7eab0f 92f866 005fbe d2bfcd cc5e7c
d58963 955706 a7e114 3b9ac2 0062a0 f2c6cc
c62e16 bcca09 1eb67c 02f8d2 0062a2 d484e5
805217 dbe0aa 28b23c 05eef9 0062f5 d55490
9a3e3a f9bf3b 52b4af 2bfbf6 00687c e120e4
678f41 0cf204 006969 bebeff dc3ad2 dfaeb7
6d9417 1cfa6f 006c34 952ab0 ea97dd fd3592
e7cb3e 819713 a0c8db 0aa6fb 006caf 983c45
775b04 ae9f1c b3ed53 617a6a 04def1 006ce3
f3d5bf 44f226 006e0c ac36dc a291a7 e92766
d3d3cb 76e755 006e1c 9c5ade f2a2ee c7696e
dee70a 80cbb6 006ebb df8eef 91325f d74b4c
debb57 75ecc6 006ec8 7699bc 823d6f c6445d
958255 3ce043 006f72 8f09f6 eb52d6 ffb5ef
ceb2ae 17e81e 006fd7 9ba1d2 9e0977 ec0d61
f4cccc a39663 1eed36 0070ff e970ad 972e40
06ae00 007106 ade8de ca96d1 c02db2 86646d
a82b23 dededa 87d553 0071f0 77447c e07fa5
f98c16 866806 cbd2a0 007272 a0cde4 8985eb
e3e218 47eed2 00727b 64a2c2 8e34ef f11325
c76109 ebbc65 007366 56fbf1 7592c4 9f1eff
dd2820 f89800 a2e9cd 007385 968eea 8d28fe
a84422 e1cc17 5dae79 06fcde 00746d 926fc1
b7281a 20e764 0076cf dd9cf9 79466b c86e80
2afa23 0077d4 d7bfe5 785a79 f35261 9f292f
bfb821 3ff2be 0078eb 5f7286 96a5b9 b50220
31d160 007926 5b566e b72cd0 eaabde 918183
e0b0b0 849725 8ae100 007962 4ca6dc 943398
62fe26 007a25 63ae7e 8026df d2c0dd b56caa
914f1d ddd7d0 ecae5b 007a6c 8005e9 fa2db4
a6d077 437331 08efd9 007be3 853d6b c37687
7bc464 007c1e 45fdd4 d24bf9 ecaafd 705673
d37906 24e580 007eec e1dae4 a89cad b02c51
939a02 44ea8d 007f70 7f26f1 eac7f3 e268ed
e0e427 008411 2bc077 bad4fe 655493 fb31ff
c6c1a3 acf65a 00841a 21ceef ce1db8 a37a81
933a0c a28065 d4bc66 7cc5d9 0084f7 696580
c00e0b 7edb83 008566 8c7df6 dfbdfc 941d88
dab406 7b6603 008667 62beaf ec31fd a70797
d6c3be 89f346 00884a 50b2de 666373 a719c8
da5003 33dd69 53746c 0088e1 9e98ac fecbde
a0352f f46833 e6c59e 008d8d 53d4ec 9212f8
fcbb39 008f0f d7dfdc 80cdfa 8616eb d25a86
9df088 009023 9824f2 f85df9 a492a1 a72b79
b01c07 f95313 d8c297 0093aa c5d6e5 6f3bc1
e5d53e 009406 b8cddd 6742d7 c570c3 cc0c73
b9ae0a cfe4bf 00946a 01d5eb 7e1dd1 be050a
e3aa93 c4e213 009518 11faf9 999dbb 6948a2
cce6a4 5ecf02 00964a 5e5972 bf5dcc eab7d9
82f81d 009673 9918f3 dac6e2 d860e4 e00a12
d7cbb0 87cd1a 009c3e c866e6 9606a1 747173
be4e20 b2a38c 91c4db 009cf7 831eef 84577b
b89549 5ffc65 98acac 009dda 5944cf c30d50
6c6704 a5cb3e 6be3b8 00a07c 770de4 e058d1
f9c167 68f6ea 00a096 bd73ed 911abd f3021c
f3c694 00a188 b8c4d2 536275 ec2aea f1163a
3b6c0e 17ed1a 00a1ac 9536eb dbd2e2 ed6469
78645d f7c398 00a302 b0e3e6 771cfc f12caf
785046 16f129 00a313 1257fd 6d6a9d e9a3ca
d8b6b6 65803c 16fc3a 00a3cb 733acd 7e5677
8d7734 afdd22 04f5da 00a3ff 860cf3 f230ac
cfd97e 00a891 78e0d6 9301da dd62ed f90544
8a6c49 7ebe29 38f8f8 00aaf7 514eb4 ff93ad
825117 9fc860 42f4e1 00abef 2a66b7 a5878e
cdb584 746b44 85fc0d 00adeb 2754cd df5d98
f0c020 908c12 246c55 00ae8a a2c5d9 e042d9
d28000 e7d67d b6d8d0 00afdb 3563a5 d22253
6d5e49 ba7e27 19fea5 00b08c 7376a8 b9b3f3
c05a0f f3b508 a1be8f 00b0b8 3a52e5 835281
dc640d e8d2c0 78ef3e 00b0b9 0e777d ad30df
d4d69c 00b129 58f5fc 9211f3 ab5fa5 aa263a
77572c 91fc4d 00b22e 7c2afb e8ccf1 cf4298
296c13 18fd32 00b468 b1a7ba 79597f ea03f0
ed8880 788804 3efe1c 00b4f1 6434fa a45291
865b15 fec426 a2ece7 00baef 1b55dc e55997
797058 d2e984 00bb26 80ecf9 6b72c9 f781ae
047f23 00bb4e ace4e5 978aee 793ece 987284
bf8f46 90f294 00bcff 5859e1 b5b3ba c42566
a79f0c d7d5b0 8dfb08 218859 00c0f7 9417c7
b51810 00c222 6af9df 4045f5 f181f2 a66a79
e4d9a5 9a983b 1b6c2c 00c6c4 2778fa c5567f
f4463f fdcf25 00c7c6 2e6c75 ba15ef ac0525
178816 00ca5e 692ef4 b871e0 e2cae7 a73b7d
a81413 fda418 00cd99 256c82 bdbfe7 b409f6
4f6b2c 00ce3f c4cce2 445aef c187f5 915d8f
9a5618 b6ef93 7eae67 00ceda 215bdb 727275
19920c 00d243 6c14f9 645d63 df4cc6 efb0ce
516b4b 00d24c a792fe 8733f0 d9c5de f72992
e7cbb7 00d41a 9227e2 d962f7 a51262 f2497e
c14f22 8f9089 00d634 554db0 f069e4 f1c0d2
ca2112 abb073 a4f44f 269c98 00d6f4 9842f7
a28a52 ecc242 00d7b9 b4a5f5 c61ce6 a70267
eed3bd 00d7fb 0779ca b3959e a93556 f7092d
cee1c6 00d842 038e87 ef1bf9 ddaddb 96343a
329c4f 00daa7 d1dbf7 8f1cf3 ba78a7 923966
cddf78 6e7664 279e02 00dac2 bb87fc ac1aa1
c93824 cbd144 74a984 0a7b75 00dade c71dec
f2a087 e14210 368e8f 00dbf5 9f1fd5 972c4c
00e005 108234 a094f6 6e2fd5 dfd0f5 b0809c
ac3513 afa90f 00e0ab 4e838e 8030a8 ed39fb
d0cdc0 79956f 00e14a 91599f fc78e0 ba0817
7f9b0b 086c15 00e17f cbc5fe 8130fa da3d84
dc7914 cfdc09 717659 00e297 3d57b5 c687e0
947e5e dfdfc8 00e348 a0b0c1 535d68 215ff7
c0c23a 00e5af 1472d9 9ca4e2 95718c aa102f
db2a1d 00e721 5948ba d46fbf f7c4e0 90445b
d4615a 00e74b 9099a0 c4d3f4 5551f7 c984fd
c66a49 d0e34a 00e8eb 608791 af8cf4 98069b
fbd3b8 9ec709 00e8fe af17aa cd88a7 dd0214
c91402 e5df0c 8db861 00e9db 6e36e3 c86297
c0c729 2d8e17 00eab8 9322bf f156de a40f56
b2d305 5e9a4f 00edba a871fa 922599 dfa4e1
d0b522 697d19 00eeb5 799af5 8429d8 f03c9b
ba3720 e77e1e 00f091 7d7f94 8e05e8 dfb4ea
a7140b 00f2ac 6553d8 b098ad 834e71 dc6869
e6df00 54a304 00f2b8 710ef7 b086a6 b31a54
bdf01b 096d00 4cb264 00f2bb 881be5 df9ad8
848f25 a2d40d 00f2d8 75a4e2 4c60b6 95383b
9fb920 00f2fc 1a65dd 873f6f ce6e98 b50526
998052 00f333 6577a4 b69ef7 8501df e5adbb
4b780a 00f37b a967fe 763ea8 d19fb6 a95478
dfddce 366f30 00f724 4daf74 f086e5 cd24a9
eecb8d 1b8a07 00f7ff 87a5f8 9f479b ec657e
af9b9b bf3113 00f815 1679dd fac5fb 81456a
a44329 60bb5a 00f8cc 5057a2 968e98 f5a5fa
e4cf99 00f8f1 5c7d91 e92cfb 983151 f8354d
00f919 175ceb 779ef9 dcd6e0 8e3d57 d9666c
ba2c04 c9c67a 00f9f2 3e9fe2 6a1ff2 ba6c78
7fba53 00f9f5 6348b8 e270de 816073 b60a28
1a6e10 0aa45b 00fa85 7b32e9 cd8fcd 9b4d82
49b526 6c6e6d 00fab1 e2a2dc e010c0 a61b24
9d2624 d4cb1a 00fae0 8106f9 c672d0 f34360
93482a c6beb8 c98004 00fb11 80a9e0 773daa
91c30a 2d7b1b 00fba4 a361f6 e6b9f9 ba448a
6a9812 00fc89 783ef7 d477ff f5d1ea a02c58
febe04 01904a 00fcb0 8d0be9 bd8eba 9e0a75
c4b166 615d13 00fccd ae1cf3 a6296e f757ae
a8e635 56a755 426d56 00fdc5 93159c e497d8
b86734 c3df65 00fde6 23a2b9 515e96 774b54
fab138 5f6a27 33af9e 00fde8 6f53ff 80436d
77c70c 00fea2 0c818c 8d60fb debad7 af314f
bb5c2f d9b22b 00feeb 79b3e5 1077d7 6b5467
c3db08 07771c 00feef b714cf 68535f f66f9d
bfbf09 6b7645 54b8a4 00fef7 8d28ff a71188
ae3320 a9a36e 00ff66 8a6efe 8e5876 f185c1
d17437 e3c62e 00ffc0 1571f4 a5a5c7 ae156e
b49738 e4db2e 014ffa bac1ff 877fb0 b31850
407509 48fe26 014ffe 6f91e8 c5bccb f71778
ddc618 8c9a59 c5e9bf 6caafa 0150ec aa0778
6bf62f 92acb0 119ffd 0150f3 8a5a70 ed262e
a46828 a8c558 456057 18bdf4 0150f9 f4309e
d0cfaa 6ef80f 17a1fb 0152e0 8d8696 d22b52
dd871a dfe71b 15cda3 0154d7 c5d6ff c62d5e
9d5816 c0c530 4c8371 8dd4e9 0154f3 9e73b0
e84922 27ea47 08a68d 0156d8 a386d5 f6b9da
dad497 3fb711 30e8e2 0156ff ae8798 784c5a
fe996a a6ecf8 0157ea 829cff ac909f a0435d
935939 d08e4d 87edcc 0159c4 7c86b5 e4b3f7
d63f08 21de7b 015ac7 778eba ded6de 9b5468
da914d 8d6111 72fbc4 015acd a5b4d3 b00d65
b32808 20d63a cadbcd 015cbc d679fa 8a6375
9b786d e8470e f9bf44 0df4d1 015cbe 8b97c4
c0681a 97f416 1dab9c 015fde 565c66 b59df6
d43c10 dedd77 3aac91 0160c2 a29bdb 775a66
d68f0f a8bc97 94fb5d 1db0c3 0160cc d61354
aa0c01 b3b948 5db399 63f6e5 0161de 6d7080
977755 ffa848 a5ecd7 34b4dc 0162ae 697884
aa1311 bd6d6a 25fc98 687f9d 0162e6 bdbad3
e7ce0f 5aaa58 18f8b7 0168f3 b5a6d4 b00363
bd5c2e a8d409 4fac8f 74efc9 0169b2 d795fd
e57d3e 87bcac 016b4c 3cf5fc 986ff8 8e6b90
36ee75 016c38 0aa56d 776a86 b306f2 dc91ea
ad3416 c28b46 d7d6a7 016c66 79d4fd 9675f9
617c0d 78f650 52ac8c 016d84 8f5df8 f985de
9c3717 f1c6b6 9aaa45 37d2fd 016dc9 906174
95430c e2d879 a3c0b5 31adf9 016dd5 946b85
dbbc1a 8d801e 016e51 59e2c5 7d40d2 d6589f
e59753 846c03 016e6d b0cef1 b183e7 7530c5
727521 a6d02d 40e6c2 016ecb d398fd a90b65
d29f01 68fc9b 51b485 016f60 c211fc c20b0c
fc821f 017128 68ab8d 2bfbaa 8b21f3 a24f9b
679f50 08f892 017151 e2d6e4 b530bc e58de8
a9472d d1b403 72bf88 01727d c9c1f2 f704f2
e05326 9fa18d 7ffc24 01736c 5ba0c7 8d18b6
84fd80 0173db bfa3ee 804571 fe033f d98f9d
acaf20 99f59a 01740c 5cb3b5 8a54b5 ba6b71
5b5a58 e4c940 017503 afe2b9 a006fb ef4faf
1dc832 017512 adf0bb 8a9892 d3b2f0 a03ba3
e8c334 817316 97ac86 39fcdc 017562 d206e2
e9caaf 44c200 017606 b3ade4 9a0ae8 c6638e
999b81 37f066 01772f c62ccf 6c5167 f39ce2
16d43e 017780 663cc9 d969db f6bfea b5000e
984f48 de710c b0d187 2cbaeb 017bd1 b0959d
cb7821 cbdc09 81dcce 017c6c b388f0 891eda
fd694a 795136 e6d7b9 899fa4 017db9 9dd4f7
a79083 57c30a 017e20 cabcee 7326df d642a7
95770f 88c63e 017e62 27f9f4 6e27de f358dc
b5a493 8a5d21 90c92f 017e81 59d0fa a148f6
fdd60c 017f3f 0ce09c 8841fc c177be a6177b
92ac3b b8f015 018058 45e1d3 722af4 ba5dbf
7f6101 f2d840 b7d8b9 0ac3f2 0181b9 59646a
f9c81b 018215 0bce9f c7c4fa af40b0 685863
a5e12d 018229 3cf5e1 9949c6 bf92d5 f8808d
a52313 dcc72c 52caf8 0182e7 815579 fa3b5f
dce844 62be77 01832f a250ff 9b228f d878c3
dbd66d 7dad82 018531 30dbd6 8c8195 cd0ede
c64011 e89d48 6a6864 0188f9 d6c9db 90338a
93d218 018c4a 1bfcc8 851beb e5b1f1 a469ad
f05e0a 70ea86 018d84 919bed 9e18d5 f1c6e4
4de041 019325 bba6df 9f22cc a40756 de8a97
019327 59d38b 8d01ed df56dd e5bfe1 bb0d81
dede05 019933 7ae3d1 af96f3 9154c3 d46994
91b458 019981 5f40e0 ac77c6 fdcbee c11239
e0ce6d 019e1e 62f2fb 7447d0 e373af b22e6a
e2c6c1 84da3e 019e54 4d6372 9694a5 9238fb
a2a541 ceec28 01ecd2 01a0a6 503df6 c52a61
efc670 4bf4f7 01a0e7 22609f 7a838e d1093e
6ef9a1 01a346 9b02f8 f2abfd a31c82 ae7f97
a2b98d 8efb36 01a4fb 5446ed 6f638c a75b5f
fa3418 d5d61a 8cf1b1 01a6d2 2160b5 955862
a3dd20 01a742 20f6e2 766dc4 b08899 93374e
c67846 edca98 6bf6ee 01a7e4 763bcd 814358
94eb5c 01a901 116c16 c5b4f4 b0379f fe6195
7f5554 dadbc8 75e828 01aa4a 4e5693 f392d9
9a7c19 27fb80 01aaab 4452b4 e1d6f0 ad2459
fec2b9 af341a ed7753 01abbd 1f6d7b a825e9
dd5906 f4c119 1cfdcb 5d7172 01abc9 7b3cbd
775c44 25f02e 01ac27 9399a1 e9cbff dd6af9
ae1709 9d9247 9fd51d 3bf4ff 01acfa 056fa9
60620a d7e65a 8faa20 78e6c8 01ad87 dc30fe
a80f02 ecd4af 01ae13 5be5fd 9452cf ea6ba0
9e7f46 b3d804 05f5c1 01afa0 1464af f59cfb
57ee60 01b017 b9bdc0 4a54c5 e576f1 938284
c5523e e0de1e aad9b5 01b0c4 6f5cbb 7a495a
697a0d 86be31 5ff4f3 01b1e9 194ffd d75491
77f85e 01b360 416e7b a09acf 8f03d7 f3becd
e55128 94ec2c 01b4a5 4b5f60 cebaff ab40ba
f1de34 0e6d20 01b679 35ecfb 8e24c6 d461c2
c3b89b b8f045 429710 01b7ec 9745e6 b11c7b
a7ef8a 01b9ff a505b1 6b555d b59599 e51623
5b630a 7bf56b 01ba07 277569 976dcc d1a3b7
c52b27 95d60b 01ba95 7c4ac2 ae88d0 e6d8ef
b9563e bdf122 01bca5 2660e8 5e587d e4b4fd
80f79d 01be4c 178157 ab7bff 99329a d3a3b5
9ef606 067429 01bf77 f0b5ef d231bf 734b66
855316 f8d5a0 01c116 c8cee4 9d32f5 e63078
b8eeb5 01c23e 782bc4 ff83e7 b6559b af1d32
726c17 a6ed41 01c473 2f5eb9 b483fa feb0e1
97fb17 01c75d 19777c cac7cf 8848db f973f0
a5f26f 079844 01c7ef a015e4 9a2466 e84e9b
ff6f2f a5bfb3 01c7f8 3e72fc 8f5c8e b70b30
83806f b4eeb6 01c820 426376 ec36e6 efa9d2
d1d13c 727220 98b09c 2d6c6f 01c8e2 b222ff
ddd9a5 01ca1c 2c783f ae55fd b12993 fb7dc7
924c17 b19208 f3dc72 117e6c 01ccf6 7a26c8
b17a4a c7c805 01cdb2 366cb0 b294fb 66585d
836422 01ce43 c0e4db 6b7680 165ec4 f399f3
576a3c 01ce82 d5dae1 5e33eb 965f98 fd7efb
a8a345 b3ed08 117726 01cfaf c52fe3 fb91f9
bfb214 4a7b3d 01cfed 9859e0 913d7d f07199
e2c83b 8e870e 01d0ea 3d4bdd a13a6d ff5da5
e15a26 d8e15a 01d6fe 516ed1 756179 e391a7
99958a 01d750 c1e0d1 0f6d71 ca27d2 c51526
