# colors_mcd16.0_mld3.6_nc10_cvd100_minj40_maxj84_ns10000_f
# Python 3.6.9 (default, Jan 26 2021, 15:33:00) [GCC 8.4.0]
# NumPy 1.19.5, Numba 0.53.1, Joblib 1.0.1
0045fe 33ac8b 5b8b2e 746863 953495 9fd98a a196fb c2b2d4 c65dab cca718
005eb6 5be27f 5c7aff 6d7d6c 765977 a7a3fd bcb5b5 bd79a6 c0351d f9662e
0068b8 5d8afd 8080a1 8db1ad 8f6b67 991978 b09b6e c51e00 dfb4fe f5a227
006bfc 6358a0 7f9dfe 8d384b 9a7808 9d8ea8 add0fa bcbebb d0aa63 da5172
007a3a 6740bd 739d96 8c6096 8f63f9 a3cb99 aa9ad1 d8a61b d8c4d4 f22a65
007f58 3b3bfd 42e992 6756a8 6eac88 9c81ed 9d7f99 b76201 d9add2 ee9226
0081ff 16ead8 6b21f6 806b6d 95b5f9 9fa89f bd082a c67e40 dabb34 e727ad
00829d 40ee84 80a975 82435e 8d19ee b3670c b8ac05 bec1c1 c55dff f58ae9
008697 65e2bf 663af8 804a0a a475f0 a47927 b92668 c0b0e9 c7aa0b f56f7c
008a89 463fe9 6a559d 75de8a 8e9e74 9d4f5b ad68fb d585ca f10e1f fe8d02
008c68 7eb5a5 7f3d85 8425ea 9077ff 9873a9 a94d05 bcd57f eb92de ef7126
008c6c 545881 54e3e6 7884a4 954f1e 95bea8 a3953a a90be3 ae90f5 dabb1d
008df0 3344f0 536960 7f7019 8abbef 8b996b cb2f9b cb84a5 ccc397 fa8502
0091ff 2f59e2 585f06 73bae1 9d675d 9fac3d aedf04 b62584 dcb0a8 e35c9d
009c95 507c5c 60c89d 68507f 945102 9a9b44 a7ce2b a845f0 e3bae1 e472dd
009d7f 427b29 4ecd93 5b5a56 7d34dd 7fa935 aedd37 b469fc bc3e97 ee79bc
009da5 5b8268 73c4bb 741dde 864597 94a64f a35117 aedb7a cc59fd ed9ffe
009ef4 2c5af4 3d9925 6f67a2 7b501d 84c9f3 9e9ca5 a5e124 b5536d cea589
00a13d 5e684d 754df8 95cca8 9a3100 9d80ef acbc08 b9459e cc83af f4b1f9
00a2a5 48e4c7 6040fd 7b5dac 90a27b 90a9f5 946a75 aa052f ee2618 f1ac42
00a6a0 7aab6b 7d26fe 7f3b9e 8fc5ff a56a01 ab67d2 bc2b62 c7b015 c8c9ce
00a6ff 6b40e5 764a5d 838381 83dbf9 aeaeb2 b975b2 bb4445 dead83 f67a0f
00a79f 21d5e4 618d64 802fe8 8d3b5a 975eaf a5d9af ab8cfd b0af51 c72004
00aa07 537559 57e05f 6f5704 84a078 a642f0 bed1c0 c2a6c5 c45894 e570ff
00ab71 24e283 4a755d 919fdc 92208e 938193 ac1af3 ad6a13 d2c7d0 d5a205
00ae84 655366 6567b2 78e2bb 9184a1 9496f6 ac2e36 c5afce e8953a eb1900
00b0ff 3c77d8 5a577b 64ca3a 838aac b41843 b68b83 b8660f cab9ca fdb6a4
00b275 00ef95 515a77 5a8f1b 8f8798 984449 99c5bd a436e8 b5b316 ef5ef8
