# colors_mcd18.0_mld4.2_nc8_cvd100_minj40_maxj82_ns10000_f
# Python 3.6.9 (default, Jan 26 2021, 15:33:00) [GCC 8.4.0]
# NumPy 1.19.5, Numba 0.53.1, Joblib 1.0.1
0049f9 43bfff 5c80e7 707181 93513c 98a1af d96c21 ddb285
005fa5 4c87ef 596c1d 80c2f8 8d5e6c 9294a4 c6c5c6 d0a330
0060f4 67b4a2 6f7b69 7a4087 ae85d2 b07124 cabfe9 e4a44e
0069fd 366802 5a9096 88a700 933a9c be92f4 d02d64 f7a39e
006dff 57c3fe 5ba517 8b7d6d 9dd467 9f30a0 a61609 fc6eb9
007055 7c8ba3 9536c8 97cdd2 acc02e b874fd c44502 d8938f
0075fe 16b003 407928 52ded5 962895 a39ff8 ab7097 d6af8b
007660 2bccb4 625b0f 659a57 9cd74a 9f27fb c2489f cc84f4
007d8b 68b40e 704f53 8f60f1 9c8a74 b2250a bec894 f98bd8
007d8c 606457 6bce81 839990 9947fc b87339 ba8dde c2c4d9
007e32 68b6ed 6ba304 6f4692 8f48ff a26f95 c8c3c9 fd9781
0087fb 37ccfe 506695 759aaa 82474a a4d0bf bd4710 c59c41
008bfe 557c73 5734f2 8bdf3c 8e5a12 a69545 aca7d0 f19ea2
008c5e 7b1ed3 91bfea 964182 a0af33 af5cf6 d26ca1 eab6af
008f73 5a2df5 65608e 936419 9cbaa1 ba59f6 dfa8f7 e18d3f
008ffd 606a57 65bb29 741fe1 939590 9d63a2 d20101 d3b0dc
009079 5cc7b8 7a4ffa 7f5493 95391c a98ada c17c29 ecbd38
0093fd 4145e8 479100 6e5b92 85d805 965e69 b4aebf e17f76
009d74 6f7a91 875526 9a14ff abd192 c75fee c9abc7 ea8708
009de4 546019 56d7f4 7e34ed 8f618d 92a3a1 c0ba37 df395b
009e95 42d1cf 555fbb 685b00 9a9aff 9a9e00 d82e5f f2b684
00a1f9 7c7799 8cbfd4 8e3847 972bda c5957c c6ce1b fc121d
00a312 256e36 65d455 7c53cd 929682 93668d d7b9e5 df74fc
00af8c 4e57f7 7f6e9c a82035 abc7da b57216 c38bfe e1a83b
00b0fc 5468f1 75561e 8fb7ba 908800 ae248e f0b622 f64a7e
00b2a0 6534e0 857f57 97d895 a171fb ac2f79 cda7fc ed8b24
00b2fe 5483a0 6847c1 858b81 8f5c34 98cedc b8ba88 c88618
