# colors_mcd20.0_mld5.0_nc6_cvd100_minj40_maxj80_ns10000_f
# Python 3.6.9 (default, Jan 26 2021, 15:33:00) [GCC 8.4.0]
# NumPy 1.19.5, Numba 0.53.1, Joblib 1.0.1
0045ff 60639d 876d6f 99c2e4 aaaa8a e93f23
004ced 7f6e8b 945040 a49aec c7aaa3 e27106
0051e7 79bd94 8c758c a64f4c c3aff0 ff560f
0065b5 3da4de 648638 816470 aebbbe bcab00
006bd2 804734 807185 90b0a5 ce752a d4a1f7
006d40 49a52d 783ff1 89688c b29ef2 f2a09f
0070fb 2cbbf3 4d922d 918993 9e338e d1b8ae
0070fc 5a9117 7f548b 953043 d9abe2 dc7590
007481 7817de 9c8671 a1ce4a d33800 ec62fd
00766d 59de4b 7d8cba 7f1fc6 c3a8a9 c64f1a
00785b 53b1ad 7e7700 900faa a175ff dbaa3a
0079fc 486a08 73aab7 954d93 d1b84c e45275
007a2f 47bce8 7018ea 8ea103 a64fa1 dfaf93
007b4f 8c940d 962875 974efc a6b8fa db8d9b
007bd7 386739 66bbef 899a6b aa2f81 e5b72b
00837e 6e0af6 87c1d9 95a921 a15de6 b42626
0083eb 5fa51e 696781 894807 b59595 bbb8e2
00869f 8dcbcb 9517f8 a80c3f b3b176 f60600
00873c 4bd3d7 791ce3 857991 87b94a d156f7
0090fb 4a35fa 715c88 92b8da c03d2a dc7e82
009e76 3c6563 97afbf b6371c d1b749 f725fe
009fdd 6347d1 6f882b a15283 a1ce1c df8f8b
00a2c8 556c75 8420b7 8fcdcd c15139 d5a27f
00aa84 721dfe 95d067 a15bb5 bf2929 c99bd8
00abff 2f68e0 625476 97b1b0 b15a4f c7be63
00adff 466768 8b41e1 94bbb2 a07f59 c1c74d
00b0e4 8540ab 8e8893 a1c9b8 b84317 d4a238
00b315 6a7e76 8f4322 9422ed d7aaa5 ff4ef3
00b8fe 586fd5 8a5052 8fc983 9c92a1 dc5408
00baff 1975e6 5d5d81 709f88 b66c09 cfb44d
00c2ec 5d5c6a 9644be 999296 c9573f f7a842
