# colors_mcd16_mld2_nc10_cvd100_minj40_maxj90_ns10000
# Python 3.6.6 |Anaconda custom (64-bit)| (default, Jun 28 2018, 17:14:51) [GCC 7.2.0]
# NumPy 1.15.1, Numba 0.40.0, Joblib 0.12.3
0048f9 0292ee 0dcc0a 128836 656365 67fe05 81998e b75ba0 ccd197 f19dd1
004af2 3e82f4 665391 749f5d a04650 b5719d bfe3c7 d01c09 d6bfe2 ff9b0a
004bef 487fb6 50f7ff 984d5c 9baaf5 a093a3 b41f13 d1da0b d28f6b ec4700
004bf4 5e7cd7 69bcd5 829889 855a67 8ffc5a a7128a b99945 c4cbb8 cf2213
004bfc 25de59 487eb1 665d6e 885940 919e8a a68b0a cb95fd cfd2f0 fbd0c3
004fe7 017809 0cd88c 4d9ca5 6d6aad 946d68 a387f3 aaa807 bacece d7dd36
0050ed 2ab06b 327664 4cf2a5 8ac219 8b4e25 b3f616 bb83e4 f7c8e2 f827a0
0050fd 635fa7 695542 8b8cf9 9383a0 96dfc2 9a7109 cce80d dcabe3 e58472
0051e7 3c6f22 5c88cf 81ede2 928b72 96b2d1 b90c85 c1870a cbef1c dcb576
0053e9 4b87e0 516d88 5bcf19 8c96ad b41c30 c7eb8d ce6464 ee9fa0 efc5fd
0055e5 04a720 54ff1b 65698e 9e402b a78dff bf7b87 c3d7d3 e0b7f8 f8a480
0058f6 4c7971 51ecb0 61a8c5 655195 9ca49f a7452d c8d4fe cb763b dce502
0058fa 2798ff 51d2ff 6a5358 81ada0 9f6b9c a74f2c b9d18a d2860e fdcfdb
005ee6 04bfc5 29906b 496812 7e659c a18afe b9881e bee6da d7dd0b fab290
005ef6 32645d 538fd0 6a793f 794891 79e376 9aaaa1 cee0d2 cf8506 d0b2da
005fb6 11b8a4 69ecbb 7a7493 8980f5 907b29 a3b113 a7235c bbc8ec f5db68
005ff7 627cb3 77fca6 80463e a1b2f8 a78014 bc2b7a bfdf0f d4b0c1 e78a7e
0063b9 229df9 6a5354 777e8f 9c8573 a5dbf7 a6b7b1 b85420 efe105 f4a76a
006486 4793ab 6937e5 8b6c70 91df69 b03c14 c1b2f1 c39a89 d07523 f5cfc8
00648b 4181e5 56680b 78f9c6 8eb59c 9388a1 9b4c5e c78a03 cdc3d9 f9d054
0064c7 239000 5e6f54 67e7ee 6f4d66 9089f6 96749d c8ce2e c8e5c3 ec8e79
0065c1 06ace1 617e6a 8b3973 8cf6c2 91b4a2 be1e25 de6303 dfb268 e2ccf4
0065ed 386c54 51f9c4 708fba 7a437b 7b791e a5a324 b6bee7 ccd444 ea8494
0067d6 207101 8fe3a3 97226e a29126 abacb4 d2c81b d9dbf4 eb3778 fa84f3
0067df 4697e4 637794 71e391 943f13 b07760 b99eae ceee12 ef952f f8b9fa
0067ea 03b083 77dccc 857588 894391 9e274a a2a6db b56b38 e8ab03 ebdc8c
0067ff 276e14 619fc2 868488 8840a6 a2f474 b0b51f d3ccf0 e2245a ef9a8e
006880 229a86 46f2d7 687c25 764cf0 7b5655 a3a8c9 b177ee bc9c0a f6c181
006880 5b9b4f 666f63 76d51b 954d0e a1a2b5 a336df d1d3e9 d369f3 f9aaa2
0068be 2a96fd 3ce0a7 5d7086 95a4af a4806d aa014d cc5b06 d5ccf6 e39d51
006959 529c7c 777590 796a26 7dd7a3 a952e0 aead2e cdc7e6 e786ff f7da59
006c26 0198ff 662dfb 688962 6a646b 77d59d 9548aa ac8db1 c3c6e6 e9a207
006cf8 55feb6 764c4e 8294f8 a00793 a8c9d9 af7c89 d02b19 d0d905 eb886c
006e84 09bd7a 5f8b7e 76ebf3 95afb2 9635f0 cf313d d294ff e3dbbc f9aa1d
006ee3 14a901 5f6753 918ece 97c6dd a62905 cd4c8c d7eb04 da8a93 ffc894
006eff 26aae4 2d7270 50a003 7c43a0 7cd7fa 9a2c23 c4ddd1 e9cc5a ed8082
006f01 29a21e 5ed4fa 763bf5 8c92c3 9bf422 ab0676 b95d7a d1c4c1 eca473
006f4e 5e997c 626379 84cd89 a538e2 af4104 b790f0 e3d9d9 f26633 fec907
006f4f 3cf3ac 8397b9 877f1b 8b38d9 a91a82 a96fff b7cbe5 c1b83c e23479
006f79 38fbf5 5c6e58 722cd2 78d025 90988c 9d62f1 bf5605 cdcfad ce93e5
