# colors_mcd16_mld2_nc10_cvd100_minj40_maxj90_ns10000
# Python 3.6.6 |Anaconda custom (64-bit)| (default, Jun 28 2018, 17:14:51) [GCC 7.2.0]
# NumPy 1.15.1, Numba 0.40.0, Joblib 0.12.3
# Python 3.6.6 |Anaconda custom (64-bit)| (default, Jun 28 2018, 17:14:51) [GCC 7.2.0]
# NumPy 1.15.1, Colorspacious 1.1.2
0292ee 0048f9 656365 b75ba0 f19dd1 ccd197 67fe05 0dcc0a 128836 81998e
3e82f4 004af2 665391 d6bfe2 b5719d a04650 d01c09 ff9b0a 749f5d bfe3c7
50f7ff 487fb6 004bef 9baaf5 a093a3 984d5c b41f13 ec4700 d28f6b d1da0b
69bcd5 004bf4 5e7cd7 a7128a 855a67 cf2213 b99945 c4cbb8 8ffc5a 829889
487eb1 004bfc cfd2f0 665d6e cb95fd fbd0c3 885940 a68b0a 919e8a 25de59
bacece 4d9ca5 004fe7 6d6aad a387f3 946d68 aaa807 d7dd36 017809 0cd88c
0050ed bb83e4 f7c8e2 f827a0 8b4e25 b3f616 8ac219 2ab06b 4cf2a5 327664
0050fd 8b8cf9 635fa7 9383a0 dcabe3 e58472 695542 9a7109 cce80d 96dfc2
81ede2 96b2d1 5c88cf 0051e7 b90c85 dcb576 c1870a 928b72 cbef1c 3c6f22
516d88 4b87e0 0053e9 8c96ad efc5fd ee9fa0 b41c30 ce6464 c7eb8d 5bcf19
c3d7d3 0055e5 65698e a78dff e0b7f8 bf7b87 9e402b f8a480 54ff1b 04a720
4c7971 61a8c5 0058f6 c8d4fe 655195 a7452d cb763b dce502 51ecb0 9ca49f
51d2ff 2798ff 0058fa 9f6b9c fdcfdb 6a5358 a74f2c d2860e b9d18a 81ada0
04bfc5 005ee6 a18afe 7e659c fab290 b9881e d7dd0b 496812 29906b bee6da
32645d 538fd0 005ef6 794891 d0b2da cf8506 6a793f 79e376 cee0d2 9aaaa1
11b8a4 005fb6 bbc8ec 8980f5 7a7493 a7235c 907b29 f5db68 a3b113 69ecbb
005ff7 627cb3 a1b2f8 d4b0c1 bc2b7a e78a7e 80463e a78014 bfdf0f 77fca6
a6b7b1 a5dbf7 229df9 0063b9 777e8f 6a5354 b85420 f4a76a 9c8573 efe105
4793ab 006486 6937e5 c1b2f1 8b6c70 f5cfc8 b03c14 c39a89 d07523 91df69
00648b 4181e5 cdc3d9 9388a1 9b4c5e c78a03 f9d054 56680b 8eb59c 78f9c6
67e7ee 0064c7 9089f6 96749d 6f4d66 ec8e79 c8ce2e 5e6f54 239000 c8e5c3
06ace1 0065c1 e2ccf4 8b3973 be1e25 de6303 dfb268 617e6a 8cf6c2 91b4a2
708fba 0065ed b6bee7 7a437b ea8494 7b791e a5a324 ccd444 386c54 51f9c4
0067d6 abacb4 d9dbf4 fa84f3 97226e eb3778 a29126 d2c81b 207101 8fe3a3
4697e4 637794 0067df f8b9fa b99eae b07760 943f13 ef952f ceee12 71e391
77dccc 0067ea a2a6db 857588 894391 9e274a b56b38 e8ab03 ebdc8c 03b083
619fc2 0067ff 868488 d3ccf0 8840a6 e2245a ef9a8e b0b51f a2f474 276e14
229a86 46f2d7 006880 a3a8c9 764cf0 b177ee 7b5655 f6c181 bc9c0a 687c25
006880 d1d3e9 a1a2b5 a336df d369f3 f9aaa2 954d0e 76d51b 5b9b4f 666f63
95a4af 5d7086 2a96fd 0068be d5ccf6 aa014d a4806d cc5b06 e39d51 3ce0a7
777590 cdc7e6 a952e0 e786ff f7da59 796a26 aead2e 7dd7a3 529c7c 006959
0198ff c3c6e6 662dfb 6a646b ac8db1 9548aa e9a207 688962 006c26 77d59d
a8c9d9 006cf8 8294f8 a00793 af7c89 764c4e d02b19 eb886c d0d905 55feb6
76ebf3 95afb2 006e84 9635f0 d294ff cf313d f9aa1d e3dbbc 09bd7a 5f8b7e
97c6dd 006ee3 918ece cd4c8c da8a93 a62905 ffc894 d7eb04 5f6753 14a901
2d7270 7cd7fa 26aae4 006eff 7c43a0 ed8082 9a2c23 e9cc5a 50a003 c4ddd1
5ed4fa 8c92c3 763bf5 ab0676 b95d7a d1c4c1 eca473 9bf422 29a21e 006f01
626379 b790f0 a538e2 e3d9d9 f26633 af4104 fec907 84cd89 5e997c 006f4e
b7cbe5 8397b9 a96fff 8b38d9 a91a82 e23479 877f1b c1b83c 3cf3ac 006f4f
38fbf5 006f79 722cd2 9d62f1 ce93e5 bf5605 cdcfad 78d025 5c6e58 90988c
007064 9deced 12beff 9d03f3 b044a8 ed6ebb 97340e c6ae92 abd52b 5aa90f
a1ece0 00706d a59ab9 7a25cc e1b8ff bb60dc c34a30 b9e20b 1ec563 648e73
a5e4e8 6faddd 0070fa 95969c 645399 d53600 b49860 dcce9d a4d21a 247855
c3c8dd 7909e3 c590ea ad4bcf b02182 f15996 eacab9 2ca624 16e14b 007147
00726d 0992db 96909b ccb6d8 8131ad a35732 e47a0f aaef62 87b482 31f3c4
8cb2b2 007288 319fc7 a32de1 b17a03 bfac80 b3d809 45642e 81817f 8cf5c9
7c8f90 00728b 8ed4fd 5f9ae5 7d50f8 9f2838 dc473d f38920 d4b189 d4e62a
9b32fd d064d9 983b86 febde1 736566 aca084 c5d390 a7f827 0da301 00730d
679dab 741ef0 946dec fe9afb a0378d d5d217 98ac4a 658300 87edb9 00735e
7de5e8 4697c6 8847fe 714493 9f4761 ee6888 eebe97 d5e943 74b72a 00740a
00747f 7d0cd9 9a68dc f9c0fb cb90cd ff7e9a a16704 665d4c 48ec49 d2e0d8
007665 6bd0d3 5181f7 6338e0 9c4f9d b94f23 fcc79f e89814 a4a093 c7f002
3db4ec 6a59e3 d7c5d7 a2699b a40e63 d26076 f5999c 88ae17 aef655 00770e
6e8bce 5d32fe bcbcf2 803498 ab9fa3 bc427a f20854 e99842 007811 8df1b2
007881 4ad4fc a4acb5 6933d3 d251c1 aa2425 cfe958 7b8268 25b530 abdec6
007887 d5ddf5 7105f5 c0a6eb 9b5ddd f5a1b6 c97675 ab2d0e 8bb221 81f43f
52faf0 7d4cfd a779df 67527f d4a7fa e97daa e84166 f6c92c 9ddb96 007924
62b4fa 0079e1 e7c8e5 ae9caa 845182 a8240b a1d53e 3ea411 5a7260 4ffeb9
7f18f8 d4c0fc cd7deb 9c52b7 ac1310 e33e08 7fce3f 5efaa3 949993 007a56
c6c3cd 9d9ae0 765efc 7f3a94 a17991 a33a13 d3aa0a 9af5a7 33ae6d 007a5c
81e5fd 672aed b496e7 885fbb b11722 b97b34 cccf6c c7e2d3 32b28f 007a63
007ade dfd7dc f590ff 7a4d77 b97b93 a41900 b8ab88 6ead20 82e846 5c7151
01b0a8 007c85 8682de 6130e8 ccb9f6 978125 5a654e 91b985 1ef66a bde6cf
39fde7 72bec5 007c99 9c90f4 ad1cf6 a18881 fab69b b86d1b 666246 c5cc00
9ccbc7 07c6f1 138ee8 5b2cfb d30697 7f515b e9a818 ccdd9c 889d78 007d20
a7d7df 007df7 b79ce6 c50c93 c17a8e 8d5402 cdb537 908e46 dddeb6 575e4e
bad6e3 7096c3 535a71 9849d2 a0999d b57f25 715c1b f5d703 15d88f 007e60
15bbf3 8d50ee dad1d9 903f94 c88aaa 596311 8e9b5f 88d543 5cffa9 007f68
73ead3 428aea 747095 d8b5f6 8c04ca aa1d67 9f9a9a bfec09 81ba51 008033
c2e5dd 45c5da 805bd2 9d1a83 b2969f f0ad7a 745f1d dcdd00 799518 00806c
008082 d9ccf3 be93d3 bd29fd 962a56 e7c85c 666004 77940b 52b287 24fdc5
03fef4 85c2f8 6c8eda 8545a9 a38da2 d7b7b8 b4d824 758a6b 008116 575e55
008281 c2bdd2 a088c8 744296 b239f2 9e3f5a e8912b fdd36d 5b7512 7cb192
929fa2 00c3ed 0082a3 7142ef 923864 a06f6a ea6403 baa073 ebd7b0 afd740
c4daf6 945dff bda0fc 685671 e063b1 bf9891 b5140b e2cbae 759b29 008355
a5e4fb 20b9e4 6c7afb 8522c3 9f3766 ce6088 c3ab36 e0e812 b3caab 00841c
00848f 6bc1fc 8977f0 7248b5 bca3b5 f7c310 7b7e66 476605 d1d8c2 86ad5c
1df5e3 0156f3 c38dd5 b4528e a50a58 fa3760 cada28 008506 91d595 94a19b
008594 9da7ad 7348b7 a368f9 fa8bf1 a5095e 7d6b1a c6c61d 69c985 cadad1
8e9597 afc9d1 0cb6f5 0085be 702bf7 7f5d78 943348 cf6f2c dfd9b3 45f702
7091b3 0086fe b8cbec 5749bf 964559 c53a1e d6924a e2d09d 6fff02 979693
a143fc d6cbd7 ad8cb7 f6a3ff 90268e 726665 93c955 00871c 61fdae 49b592
86dded 966fe5 9110b7 8f718a f98cb7 bf2600 d5c27c c4f110 6ab023 008751
6afadd 008878 b3caf6 8c09fe d930c3 c599b0 75511e ffc600 947e06 adc071
