# colors_mcd18_mld2_nc8_cvd100_minj40_maxj90_ns10000
# Python 3.6.6 |Anaconda custom (64-bit)| (default, Jun 28 2018, 17:14:51) [GCC 7.2.0]
# NumPy 1.15.1, Numba 0.40.0, Joblib 0.12.3
0045fe 5783de 65756e 88e0ce a62c23 c4b5f7 e2de3e e37a34
004bfb 0ec74b 19752d 5df7fb 6b5ea0 9c798c c6c4b2 e582f8
0050ed 2ab06b 4cf2a5 767d8d 8b4e25 a7de20 f2d2f0 f55be6
0050f2 419ced 7d8487 a2e25c a73441 b3b09d c27723 facdea
0051eb 5d637d 73f795 979598 c1d0d6 c55055 d272ec fe8b04
0051f2 3293ea 417862 785786 acf1b4 b4b3b5 c56218 eeb003
0052e0 518859 63aedd 71687a 76f0fe 9fe008 a69310 f7c6a9
0052f4 596855 63a2f6 947e30 b2cceb c33893 d1ad9f d5eb3d
0054fc 6963a1 8297db a21f4f b4adaf b9d3f7 db6c46 f9d252
0054fd 2ed03b 4b5a8c 82997d 9c581c b0edc5 d475c2 ddccf3
0055d2 1390f8 447d5e 6f597e 7acad8 9f9b0f aedd39 b72c12
0056df 625e8a 6888f4 885d25 8ef967 9d8a9f d0cef4 db7d72
0058fa 8c8bf9 8d4416 8efe00 9f6b9c b9d18a dd636a df9bc4
005beb 557d5f 785e84 79e8f4 a190ea ad8d2c d7e949 fcab9a
005cb5 4a6a08 5dda82 5f8ed9 99a1a7 bb8f08 bc3f6e cfd3ea
005cf5 2db8fa 426464 81e758 946523 9a9fad d6d1d6 de7570
005db1 6fd40b 8e546a a89796 cc451d cfdbc9 f25cf9 f8b4f9
005dd4 38a0e1 93c1a8 ac5c8e c22544 dbcaf4 f78055 ffd729
0061f0 6e602a 76c7ad 7a7c8a bd8cec c78c13 ddd3f7 edd042
0065d5 0df634 5a97ce 5e6508 823f6f 91a01c adc8ca bd626c
006679 5fd758 656f48 78909e 8e00ef a97b02 dcb7dd ef3cf3
0066df 516c11 764883 9aa6f5 aa9d11 c16a68 c5e005 f7adbf
0066f0 12b99d 7df7cf 928dd4 936e5d a91897 bac8e6 e3bb20
0067ea 81e3d6 857588 9e274a a2a6db b56b38 ebdc8c f19716
006880 687c25 8517f9 92ae00 96cde9 b177ee d27c94 f6c181
006896 56be86 67665e 9c2a0f b589d1 c47d09 ddd4d9 fcba1e
0068be 29fbc7 349efc 8d616d 95a4af 993702 d5ccf6 e39d51
00695d 559494 5bdb94 ac42cf af290a bcace5 d37720 f7bd17
006969 608430 87befe 9b04b2 9da7a8 9e77b6 d7dbe8 fcb27e
0069aa 4ada9e 8295e2 8d7a7d 913f1f b3f120 cf6e3a d2c1db
0069ed 46f8b7 6f9e29 894a2a c68ec7 cb5c82 d6dcfe d9d53e
006a54 04a296 65628b 816a19 8bb857 96e8ce d9ea34 f346ec
006c24 0c9e3d 6d5ecd 7c5868 83e897 af89fd d1e30c d6a1c9
006cf8 477466 8b8eb1 a00793 a8c9d9 d02b19 d0d905 eb886c
006d00 25d7fe 3c6dea 805378 8e9fa5 c0585f cceb19 fbbd9d
006d0f 1afd04 59b109 9755d4 a94c72 b3cfb0 c68fca fac9f2
006d44 8097f6 81eaff a719fc b8cebe d32a92 de8a63 e9cc27
006d5f 0b9f9b 48f5c0 858948 9a34b2 b5c0e3 c7b840 d865f1
006f4f 3cf3ac 8397b9 877f1b 8b38d9 b7cbe5 c1b83c e33a83
006f5f 08d402 7c987a 864897 c87fb6 c91116 d9dbf0 f6c3b3
007147 16e14b 2ca624 942477 ad4bcf c590ea c5c7d5 f15996
00714f 638a26 64ca67 751adf 805781 baf12c c24df2 ceb2f2
007365 53a189 776900 94dae8 a2990c b29cff bd31d0 ccdf5d
007444 2efbf8 72a8c5 838a16 9e3ddb b8e2ac c46e85 faba37
0074e6 356a4a 36d296 8495ad 968a23 9e2f89 c8e1ee ced837
007645 0cc02f 7b07f2 815da1 999a96 b0e29d d387ea e3d3e6
007680 68e504 956248 988fcc a342fc b49c74 d1dfd9 eebdff
007682 1ffa27 968605 a89fd4 ae2240 b030e4 dbd7ed e59182
007716 49b8c8 9b44bc 9f1d67 a8e0d8 d2e622 df4a7a e3a271
0078bc 0ffcac 2badff 888c97 aac5d2 bd0c5b c37d58 ced80a
0078dc 50e9ad 56725b 93879b a12f04 aab6e3 be8801 e5d500
007903 27c3cb 776f88 8524b1 8986f4 b7e7d1 c38b64 ded362
00792c 7c0fda 8d547f 8e6bff 948f8d 99cbe8 c5ee57 d79a60
007960 0bca13 6b2ff2 757411 90a88c b85edb cfe38c f0ade4
00797e 48bba8 4afae7 963422 969222 a046d3 d2da8d e89afd
0079dd 83457b 84c7fd 86a506 ae81a4 c95067 c9e3c6 dfd61f
007b6b 91f4de 963133 a68aac ae22de d3bcfc fb280e fdbe81
007bed 3e7a21 827a98 84b6ec 8e3a5c b9f25b dc7b7e f2bcc4
007c83 0ed40b 8a444a 9101f9 988343 b9daf7 d8c6b0 f439ca
007c85 01b0a8 1ef66a 5a654e 8682de 8921f6 978125 ccb9f6
007ce1 14c1a3 765383 7c8f3b 87f2ec 9f2344 a9aff2 cfe050
007d15 2faf4d 76f6ca 927276 9661fd bbdb15 be2c98 eca1e1
007d20 138ee8 6625fd 889d78 9ccbc7 d30697 e3dea1 e9a818
007f68 05c3fa 596311 87963e 88d543 8d50ee c88aaa dad1d9
008030 7596f8 7d7b87 8c22de 97d6fd b49881 c7dcae f5a419
0080fe 0d760c 5e9e66 70686b 95ea02 a645a0 ddd8db e39df1
00822d 5bb10b 7c51fd 7f757f 8a2e92 c3e0ec c9cc89 ea68c9
008240 3fc93a 60606e 8d938c 8f08ba b173b4 c6b4f9 f9c2bb
00852f 6a43b5 78eb07 85526f a084cd d0bce8 fe5375 ffc0ad
008751 69f7fa 6b5673 739e0a 7703e9 966fe5 d5c27c f98cb7
0087a2 04bbfc 6e3dbf 72b232 886710 a6f2b2 b42163 bcb7bf
008888 28fed4 93c1d2 ae0dd0 af361e b2885f b383ff d9ca74
008909 11fbc2 646065 74ce13 a233b2 b08d6f e0c1ef f35bab
0089fa 3a881f 575a5f 71ea08 938781 9eb978 d3acd4 d41ba8
008ac5 08c8ec 6c534d 732af5 aed5ba c62706 d2b531 d87268
008b3e 56d874 7040a8 8a4764 a065f4 b37c96 cc9dfd d0dce2
