# colors_mcd20_mld2_nc6_cvd100_minj40_maxj90_ns10000
# Python 3.6.6 |Anaconda custom (64-bit)| (default, Jun 28 2018, 17:14:51) [GCC 7.2.0]
# NumPy 1.15.1, Numba 0.40.0, Joblib 0.12.3
0046ff 05d274 7a5396 c62b45 dddae2 e088db
004af5 5d89b9 6a6f68 a03602 b0d3f2 e8a166
004deb 259ed1 8c863e 97e2fd c1c6b2 c52f7d
004dff 39a8f0 b8bc0c bc5c88 c4e6c9 da0006
0050f2 419ced 7d8487 a2e25c c27723 facdea
0051e0 4e8cfe 50e1f3 b48f1c bc3f66 c8e678
0051fa 09e6f0 5e7f9d 836141 8fb86c e0e036
0056e7 2bcff0 89939a a14156 cbeb6f e27656
0057cf 21a1e6 66606c b9d7f5 d2c296 ff233f
0058dc 568274 97d0d0 9d5b20 a580cb dfa961
0058ef 777a94 7a4c43 9dc2c0 ae804d e3cc46
005bcb 39daf1 6e93a7 995a64 c1bba9 dd4321
005cc7 55effe 5d756d abd886 d785ae f2530c
005df0 5d99d5 7a6479 8fb804 97d5ee eb9d9e
005ecc 0cb81f 72f64a 807692 905544 beb8e8
005fbe 55a69f 859751 a53660 b3eb93 e3b5fb
005ff5 625864 7a83ac 92c3b8 985b2a edc835
0063b1 0dfcc6 39aa9b 8faf05 a56653 e18af3
0063fb 536673 877551 aaee55 e685b9 f7d3d7
0064f0 4b6165 62e6b6 877215 878ab1 d0c81e
006679 5fd758 656f48 96a291 dcb7dd ef3cf3
006880 687c25 8517f9 96cde9 b177ee f6c181
0068b1 16c45f 756a18 a0135a a0f637 dd99db
0068be 29fbc7 8d616d 95a4af 993702 e39d51
00695d 49a171 ac42cf af290a bcace5 f7bd17
0069aa 0af58e 6f96f8 8d7a7d cf6e3a d2c1db
006cca 03f9ab 6b6e78 8d3d1c c2adda d98908
006cf8 7c85ad 933c53 a8c9d9 eb886c fed735
006d0f 59b109 80dffa 9755d4 a94c72 cfacae
006d0f 8658e3 88a7fc a38f96 d3d2e6 fbaf54
006d4e 0ebe26 923fe3 bea5f1 c0699a fbb6ab
006d5f 48f5c0 7987d0 858948 b5c0e3 c7b840
006e2e 9a46fe 9bdb72 c886ee e2d6e1 f90093
006f06 7cee10 96439e a295e6 dbdbe6 ff276e
006f25 11a666 78ef13 954e77 a15bf9 e8d3d2
007034 705f7b 8c9a9b b41cde bedce7 c8ab67
007064 48ac77 7d48ca bce48f d23c0c ed6ebb
007071 665b25 679b61 afd1ff bb3bd1 d1bb11
007245 24b39b 57fdc7 ab2ae5 b3b3ef cf9d2d
00731b 1bddfb 7f4463 8c2bf8 a284a5 f89a6f
007365 645b16 94dae8 a2990c bd31d0 ccdf5d
00755f 62770a 86ab69 b21ddf bfe7a0 d4a3bf
007645 0cc02f 815da1 b0e29d d387ea efd2fc
00766e 5ae0a0 7d59ca 897726 cbee0e de86bf
007680 68e504 923a2b 929c7e b74cfe fdb5d4
007716 49b8c8 9b44bc a9ecd5 d3527a e3a271
007840 02b60e 9b9da1 9d2482 cddbdf d744f7
00784a 1be9e3 675879 816fe3 ceb13c f37294
0078bc 5e6362 7d4c00 aac5d2 c37d58 ebd683
0078dc 56725b 853e7b aab6e3 be8801 e5d500
00792c 8d547f 8e6bff 99cbe8 ae9487 fabe4a
0079dd 83457b 84c7fd acaeb0 c95067 fec97b
007a78 8152fb 86cb95 8f4d07 b591d1 d88020
007a79 72f7f1 9044f4 9b3316 a7d38a ac94c1
007bed 5e712c 84b6ec a0146c b9f25b dc7b7e
007c92 7e9582 be4d03 c0d8f0 c171fc efb344
007f68 596311 88d543 8d50ee c88aaa e0daf0
008030 7596f8 8c22de ad4888 c7dcae f5a419
00806c 45c5da 5a5f13 799518 9e20b7 c0c682
0080dc 2ece4d 56611f b86b80 cce2bf f0bceb
00822d 5c5f65 8feff3 ac20ee c9cc89 ea68c9
008240 3fc93a 8f08ba b173b4 b8ebb9 d9c5e2
00848f 476605 6bc1fc 774be8 86ad5c d1d8c2
0084d2 62546b 93ebdf 954827 a09799 f0c34a
008502 30a8e8 82f1f3 8a1dc4 8c878b c9b80e
008594 69c985 7d6b1a 8507ed dfdf1d fd4ef6
0085be 45f702 8e9597 943348 cf6f2c dfd9b3
00866b 6efad9 7349bc a0c16a cc93c8 e42301
0087a2 7731e7 82aaa3 886710 a6f2b2 bab039
0087cc 585d5a 7ce511 bb6b04 d5b1a6 dedafa
0087e8 22f067 5f7384 982e33 a07f21 ddced2
00882e 85b7e1 9f0f72 b25afe bfc65f e96091
008909 646065 74ce13 a233b2 e5d1e5 f35bab
0089cc 4b6570 829ba0 8bf691 d16522 dfb8f3
0089f6 60892d 71e322 7d4185 d17495 e0d5b7
008b41 0ed32b 6c5a9f a288ff bfe1b4 d48aad
008bfe 546412 7f9e1a aaeca5 b84e86 e9aef1
008d47 763cd6 79bc0b 904e7d b08bda d6d9a7
009145 5ceef9 8f72e4 91456d a8d17a d587a2
009187 02f6c5 526202 a09ce6 b213c0 c8b716
00929b 79e8a9 a62dfd ac2806 d6863a fbc2f7
0092e0 027041 64ee13 6f5e81 70a82a df99a0
00937e 1de81a c52925 c851d5 cad5c9 dda3e0
0094db 4f6973 909c87 ab1b07 c3ded1 fcb833
009502 5dd89d 6c47d6 a75975 bbf028 df89de
009590 7b5ae6 905a46 adc5ca c593f6 ed9c51
0095fb 5d9937 6134e0 8b7082 abeb81 d1a1c0
009699 5d35e2 975b57 97eef1 a277ff c1c15d
009a28 75b5fe 7a5ce7 a4789a a60e53 ace83a
009ac3 5f49b0 9bc549 a7587b e2013f e5c4d6
009b5a 41fbc8 695393 a378e8 b6c0e3 e6d34e
009cd9 325aa3 6c8e5c 6f5b65 9bdcc9 c5cb56
009eee 7eee46 8a3291 949ca3 fbc8fe fd1a37
009ef5 4f609e a0a5a8 a0edf3 c0534c dfb844
00a1e0 663ff7 7f7887 845012 ccd1e8 f48057
