# colors_mcd20_mld2_nc6_cvd100_minj40_maxj90_ns10000
# Python 3.6.6 |Anaconda custom (64-bit)| (default, Jun 28 2018, 17:14:51) [GCC 7.2.0]
# NumPy 1.15.1, Numba 0.40.0, Joblib 0.12.3
# Python 3.6.6 |Anaconda custom (64-bit)| (default, Jun 28 2018, 17:14:51) [GCC 7.2.0]
# NumPy 1.15.1, Colorspacious 1.1.2
0046ff dddae2 7a5396 e088db c62b45 05d274
b0d3f2 5d89b9 004af5 a03602 e8a166 6a6f68
97e2fd 259ed1 004deb c52f7d 8c863e c1c6b2
39a8f0 004dff bc5c88 da0006 b8bc0c c4e6c9
7d8487 419ced 0050f2 facdea c27723 a2e25c
50e1f3 4e8cfe 0051e0 bc3f66 b48f1c c8e678
09e6f0 5e7f9d 0051fa 836141 e0e036 8fb86c
2bcff0 89939a 0056e7 a14156 e27656 cbeb6f
21a1e6 b9d7f5 0057cf 66606c ff233f d2c296
97d0d0 0058dc a580cb 9d5b20 dfa961 568274
9dc2c0 0058ef 777a94 7a4c43 ae804d e3cc46
39daf1 6e93a7 005bcb 995a64 dd4321 c1bba9
55effe 005cc7 d785ae f2530c abd886 5d756d
97d5ee 5d99d5 005df0 7a6479 eb9d9e 8fb804
005ecc beb8e8 807692 905544 72f64a 0cb81f
55a69f 005fbe e3b5fb a53660 859751 b3eb93
92c3b8 005ff5 7a83ac 625864 985b2a edc835
39aa9b 0063b1 e18af3 a56653 8faf05 0dfcc6
536673 0063fb e685b9 f7d3d7 877551 aaee55
4b6165 0064f0 878ab1 877215 d0c81e 62e6b6
006679 dcb7dd ef3cf3 656f48 5fd758 96a291
006880 96cde9 8517f9 b177ee f6c181 687c25
0068b1 dd99db a0135a 756a18 a0f637 16c45f
95a4af 0068be 8d616d 993702 e39d51 29fbc7
00695d bcace5 ac42cf af290a f7bd17 49a171
0069aa 6f96f8 d2c1db 8d7a7d cf6e3a 0af58e
006cca 6b6e78 c2adda 8d3d1c d98908 03f9ab
a8c9d9 006cf8 7c85ad 933c53 eb886c fed735
80dffa 9755d4 a94c72 cfacae 59b109 006d0f
88a7fc d3d2e6 8658e3 a38f96 fbaf54 006d0f
bea5f1 923fe3 c0699a fbb6ab 0ebe26 006d4e
006d5f b5c0e3 7987d0 c7b840 858948 48f5c0
9a46fe c886ee e2d6e1 f90093 9bdb72 006e2e
dbdbe6 a295e6 96439e ff276e 7cee10 006f06
a15bf9 954e77 e8d3d2 78ef13 006f25 11a666
8c9a9b bedce7 705f7b b41cde c8ab67 007034
007064 7d48ca ed6ebb d23c0c bce48f 48ac77
007071 afd1ff bb3bd1 665b25 d1bb11 679b61
24b39b b3b3ef ab2ae5 cf9d2d 007245 57fdc7
1bddfb 8c2bf8 a284a5 7f4463 f89a6f 00731b
007365 94dae8 bd31d0 645b16 a2990c ccdf5d
b21ddf d4a3bf 62770a 86ab69 bfe7a0 00755f
815da1 efd2fc d387ea b0e29d 0cc02f 007645
00766e 7d59ca de86bf 897726 cbee0e 5ae0a0
007680 b74cfe fdb5d4 923a2b 929c7e 68e504
49b8c8 9b44bc d3527a e3a271 007716 a9ecd5
cddbdf 9b9da1 d744f7 9d2482 02b60e 007840
1be9e3 816fe3 675879 f37294 ceb13c 00784a
5e6362 aac5d2 0078bc c37d58 7d4c00 ebd683
0078dc aab6e3 853e7b be8801 e5d500 56725b
99cbe8 8e6bff 8d547f ae9487 fabe4a 00792c
acaeb0 84c7fd 0079dd 83457b c95067 fec97b
007a78 8152fb b591d1 8f4d07 d88020 86cb95
72f7f1 007a79 9044f4 ac94c1 9b3316 a7d38a
84b6ec 007bed a0146c dc7b7e 5e712c b9f25b
007c92 c0d8f0 c171fc be4d03 efb344 7e9582
e0daf0 8d50ee c88aaa 596311 88d543 007f68
